EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VS9TE00,港墘路219號前,往北,2016-04-01,00:00:00,1,31.0,31.0,0.0,31.0,0.0,27.84,0.45,249.07
VS9TE00,港墘路219號前,往北,2016-04-01,01:00:00,1,17.0,17.5,1.0,16.0,0.0,31.120003,0.27,250.0
VS9TE00,港墘路219號前,往北,2016-04-01,02:00:00,1,17.0,17.0,0.0,17.0,0.0,33.53,0.27,250.0
VS9TE00,港墘路219號前,往北,2016-04-01,03:00:00,1,12.0,12.0,0.0,12.0,0.0,35.25,0.13,248.18
VS9TE00,港墘路219號前,往北,2016-04-01,04:00:00,1,8.0,8.0,0.0,8.0,0.0,36.0,0.15,250.0
VS9TE00,港墘路219號前,往北,2016-04-01,05:00:00,1,9.0,9.0,0.0,9.0,0.0,36.0,0.15,250.0
VS9TE00,港墘路219號前,往北,2016-04-01,06:00:00,1,24.0,24.0,0.0,24.0,0.0,39.5,0.33,249.07
VS9TE00,港墘路219號前,往北,2016-04-01,07:00:00,1,60.0,63.0,6.0,54.0,0.0,43.75,0.75,241.03
VS9TE00,港墘路219號前,往北,2016-04-01,08:00:00,1,296.0,307.5,23.0,273.0,0.0,31.139997,9.83,138.63
VS9TE00,港墘路219號前,往北,2016-04-01,09:00:00,1,298.0,308.0,20.0,278.0,0.0,34.07,20.55,125.53
VS9TE00,港墘路219號前,往北,2016-04-01,10:00:00,1,397.0,421.5,49.0,348.0,0.0,33.88,14.63,110.28
VS9TE00,港墘路219號前,往北,2016-04-01,11:00:00,1,359.0,380.0,42.0,317.0,0.0,25.47,12.42,131.28
VS9TE00,港墘路219號前,往北,2016-04-01,12:00:00,1,333.0,356.89658,24.0,309.0,0.0,26.829998,8.72,130.11
VS9TE00,港墘路219號前,往北,2016-04-01,13:00:00,1,492.0,520.0,56.0,436.0,0.0,20.86,21.7,109.78
VS9TE00,港墘路219號前,往北,2016-04-01,14:00:00,1,498.0,538.5,81.0,417.0,0.0,22.3,20.07,89.67
VS9TE00,港墘路219號前,往北,2016-04-01,15:00:00,1,478.0,506.0,56.0,422.0,0.0,26.24,20.07,84.88
VS9TE00,港墘路219號前,往北,2016-04-01,16:00:00,1,70.0,334.6154,5.0,65.0,0.0,30.44,6.13,136.2
VS9TE00,港墘路219號前,往北,2016-04-01,17:00:00,1,432.0,484.2857,40.0,392.0,0.0,24.49,15.63,105.08
VS9TE00,港墘路219號前,往北,2016-04-01,18:00:00,1,458.0,488.0,60.0,398.0,0.0,25.6,13.32,103.9
VS9TE00,港墘路219號前,往北,2016-04-01,19:00:00,1,565.0,597.5,65.0,500.0,0.0,24.83,20.65,74.08
VS9TE00,港墘路219號前,往北,2016-04-01,20:00:00,1,309.0,322.0,26.0,283.0,0.0,29.0,6.57,146.68
VS9TE00,港墘路219號前,往北,2016-04-01,21:00:00,1,233.0,242.0,18.0,215.0,0.0,25.639997,5.1,169.6
VS9TE00,港墘路219號前,往北,2016-04-01,22:00:00,1,177.0,182.5,11.0,166.0,0.0,30.97,3.35,188.42
VS9TE00,港墘路219號前,往北,2016-04-01,23:00:00,1,149.0,150.5,3.0,146.0,0.0,29.460001,2.2,207.0
VS9TE00,港墘路219號前,往北,2016-04-02,00:00:00,1,56.0,56.0,0.0,56.0,0.0,33.52,0.7,247.3
VS9TE00,港墘路219號前,往北,2016-04-02,01:00:00,1,34.0,34.0,0.0,34.0,0.0,35.12,0.43,249.08
VS9TE00,港墘路219號前,往北,2016-04-02,02:00:00,1,23.0,23.0,0.0,23.0,0.0,36.83,0.35,250.0
VS9TE00,港墘路219號前,往北,2016-04-02,03:00:00,1,19.0,20.0,2.0,17.0,0.0,38.37,0.32,250.0
VS9TE00,港墘路219號前,往北,2016-04-02,04:00:00,1,16.0,16.0,0.0,16.0,0.0,37.31,0.25,249.08
VS9TE00,港墘路219號前,往北,2016-04-02,05:00:00,1,16.0,16.0,0.0,16.0,0.0,34.06,0.25,250.0
VS9TE00,港墘路219號前,往北,2016-04-02,06:00:00,1,33.0,33.0,0.0,33.0,0.0,35.48,0.45,250.0
VS9TE00,港墘路219號前,往北,2016-04-02,07:00:00,1,46.0,47.0,2.0,44.0,0.0,37.63,0.65,245.4
VS9TE00,港墘路219號前,往北,2016-04-02,08:00:00,1,83.0,83.5,1.0,82.0,0.0,40.69,0.98,233.27
VS9TE00,港墘路219號前,往北,2016-04-02,09:00:00,1,114.0,116.5,5.0,109.0,0.0,43.0,1.3,220.67
VS9TE00,港墘路219號前,往北,2016-04-02,10:00:00,1,183.0,188.0,10.0,173.0,0.0,38.02,2.73,187.9
VS9TE00,港墘路219號前,往北,2016-04-02,11:00:00,1,276.0,293.0,34.0,242.0,0.0,33.58,5.07,157.85
VS9TE00,港墘路219號前,往北,2016-04-02,12:00:00,1,288.0,318.42105,29.0,259.0,0.0,32.56,6.16,139.57
VS9TE00,港墘路219號前,往北,2016-04-02,13:00:00,1,242.0,246.5,9.0,233.0,0.0,35.569996,3.58,163.17
VS9TE00,港墘路219號前,往北,2016-04-02,14:00:00,1,231.0,234.0,6.0,225.0,0.0,38.13,3.15,158.58
VS9TE00,港墘路219號前,往北,2016-04-02,15:00:00,1,221.0,224.5,7.0,214.0,0.0,35.7,3.2,171.75
VS9TE00,港墘路219號前,往北,2016-04-02,16:00:00,1,231.0,233.0,4.0,227.0,0.0,35.09,3.52,169.27
VS9TE00,港墘路219號前,往北,2016-04-02,17:00:00,1,209.0,214.5,11.0,198.0,0.0,33.13,3.45,181.18
VS9TE00,港墘路219號前,往北,2016-04-02,18:00:00,1,232.0,235.0,6.0,226.0,0.0,32.36,3.55,172.93
VS9TE00,港墘路219號前,往北,2016-04-02,19:00:00,1,207.0,208.5,3.0,204.0,0.0,31.59,3.07,182.58
VS9TE00,港墘路219號前,往北,2016-04-02,20:00:00,1,145.0,146.5,3.0,142.0,0.0,34.28,2.05,212.23
VS9TE00,港墘路219號前,往北,2016-04-02,21:00:00,1,158.0,162.0,8.0,150.0,0.0,34.73,2.58,205.07
