EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSEMV60,明水路417號前,往西,2016-04-01,00:00:00,1,181.0,184.0678,0.0,181.0,0.0,66.65,1.82,0.0
VSEMV60,明水路417號前,往西,2016-04-01,01:00:00,1,94.0,96.10169,1.0,93.0,0.0,69.47,1.01,0.0
VSEMV60,明水路417號前,往西,2016-04-01,02:00:00,1,59.0,61.01695,2.0,57.0,0.0,66.37,0.75,0.0
VSEMV60,明水路417號前,往西,2016-04-01,03:00:00,1,44.0,45.254234,1.0,43.0,0.0,69.68,0.49,0.0
VSEMV60,明水路417號前,往西,2016-04-01,04:00:00,1,32.0,33.050846,1.0,31.0,0.0,68.72,0.33,0.0
VSEMV60,明水路417號前,往西,2016-04-01,05:00:00,1,37.0,38.644066,2.0,35.0,0.0,72.97,0.45,0.0
VSEMV60,明水路417號前,往西,2016-04-01,06:00:00,1,57.0,58.983047,2.0,55.0,0.0,59.11,0.73,0.0
VSEMV60,明水路417號前,往西,2016-04-01,07:00:00,1,143.0,146.44067,2.0,141.0,0.0,63.31,1.57,0.0
VSEMV60,明水路417號前,往西,2016-04-01,08:00:00,1,578.0,590.339,5.0,573.0,0.0,57.299995,6.41,0.0
VSEMV60,明水路417號前,往西,2016-04-01,09:00:00,1,1146.0,1186.7797,42.0,1104.0,0.0,45.96,16.6,0.0
VSEMV60,明水路417號前,往西,2016-04-01,10:00:00,1,796.0,814.57623,10.0,786.0,0.0,57.21,8.88,0.0
VSEMV60,明水路417號前,往西,2016-04-01,11:00:00,1,497.0,518.7931,9.0,488.0,0.0,58.81,5.4,0.0
VSEMV60,明水路417號前,往西,2016-04-01,12:00:00,1,503.0,513.05084,3.0,500.0,0.0,60.15,5.28,0.0
VSEMV60,明水路417號前,往西,2016-04-01,13:00:00,1,501.0,515.5932,12.0,489.0,0.0,59.12,5.45,0.0
VSEMV60,明水路417號前,往西,2016-04-01,14:00:00,1,497.0,509.49152,8.0,489.0,0.0,60.32,5.26,0.0
