EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,00:00:00,2,283.0,303.2143,0.0,283.0,0.0,49.21841,1.3,131.975
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,01:00:00,2,173.0,173.5,1.0,172.0,0.0,49.75324,0.82500005,151.91501
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,02:00:00,2,109.0,109.0,0.0,109.0,0.0,49.321926,0.58,163.91501
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,03:00:00,2,65.0,69.64285,0.0,65.0,0.0,49.416462,0.42000002,182.33499
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,04:00:00,2,58.0,58.0,0.0,58.0,0.0,49.723965,0.36,193.0
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,05:00:00,2,66.0,66.0,0.0,66.0,0.0,49.516815,0.39,196.75
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,06:00:00,2,106.0,106.0,0.0,106.0,0.0,49.455944,0.61,165.92
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,07:00:00,2,442.0,443.0,2.0,440.0,0.0,48.638504,1.975,128.525
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,08:00:00,2,1096.0,1109.5,27.0,1069.0,0.0,44.406494,5.8599997,81.945
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,09:00:00,2,1132.0,1213.3928,1.0,1131.0,0.0,47.62409,5.6,75.06
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,10:00:00,2,1148.0,1156.0,16.0,1132.0,0.0,45.43448,6.35,82.020004
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,11:00:00,2,1234.0,1251.0,34.0,1200.0,0.0,42.895916,7.85,81.69
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,12:00:00,2,1372.0,1393.5,43.0,1329.0,0.0,43.000813,8.43,74.335
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,13:00:00,2,1198.0,1211.5,27.0,1171.0,0.0,44.005894,7.135,77.425
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,14:00:00,2,1272.0,1285.5,27.0,1245.0,0.0,44.17772,7.1099997,74.725
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,15:00:00,2,1312.0,1428.75,43.0,1269.0,0.0,41.114147,8.47,67.725
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,16:00:00,2,1364.0,1389.5,51.0,1313.0,0.0,42.76984,8.485001,72.83501
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,17:00:00,2,1375.0,1396.0,42.0,1333.0,0.0,42.1953,8.595,72.625
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,18:00:00,2,1516.0,1540.0,48.0,1468.0,0.0,40.820244,9.940001,81.884995
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,19:00:00,2,1507.0,1523.0,32.0,1475.0,0.0,41.201874,9.025,74.575
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,20:00:00,2,1180.0,1183.5,7.0,1173.0,0.0,44.994907,6.46,73.965
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,21:00:00,2,875.0,938.5714,2.0,873.0,0.0,45.974617,4.6800003,91.225
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,22:00:00,2,914.0,916.0,4.0,910.0,0.0,46.356365,4.69,84.65
VSGRX60,堤頂大道二段177號前,往西,2016-04-01,23:00:00,2,686.0,686.0,0.0,686.0,0.0,47.434795,3.225,104.225006
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,00:00:00,2,337.0,337.0,0.0,337.0,0.0,49.252644,1.415,141.275
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,01:00:00,2,248.0,248.0,0.0,248.0,0.0,49.83089,1.04,144.425
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,02:00:00,2,128.0,128.0,0.0,128.0,0.0,50.171875,0.68,150.75
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,03:00:00,2,91.0,97.5,0.0,91.0,0.0,50.270004,0.5,176.545
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,04:00:00,2,79.0,79.0,0.0,79.0,0.0,50.470505,0.45,175.25
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,05:00:00,2,89.0,89.0,0.0,89.0,0.0,49.855392,0.53499997,163.875
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,06:00:00,2,136.0,136.0,0.0,136.0,0.0,48.829193,0.735,159.08499
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,07:00:00,2,311.0,311.0,0.0,311.0,0.0,48.994984,1.3900001,140.05
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,08:00:00,2,499.0,499.0,0.0,499.0,0.0,48.48024,2.19,123.64
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,09:00:00,2,663.0,710.3571,0.0,663.0,0.0,48.546017,3.005,106.275
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,10:00:00,2,862.0,863.5,3.0,859.0,0.0,47.825844,4.045,109.229996
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,11:00:00,2,1013.0,1014.5,3.0,1010.0,0.0,46.3301,5.375,96.899994
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,12:00:00,2,1246.0,1263.0,34.0,1212.0,0.0,43.29421,7.925,81.71
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,13:00:00,2,1028.0,1038.0,20.0,1008.0,0.0,45.08242,5.7200003,92.59
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,14:00:00,2,1050.0,1081.5254,27.0,1023.0,0.0,45.192142,5.41,82.485
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,15:00:00,2,1146.0,1227.3684,40.0,1106.0,0.0,42.29594,8.355,79.595
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,16:00:00,2,1211.0,1234.5,47.0,1164.0,0.0,41.90455,8.45,77.225006
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,17:00:00,2,1136.0,1156.0,40.0,1096.0,0.0,43.971542,6.8,84.055
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,18:00:00,2,1191.0,1210.0,38.0,1153.0,0.0,42.885445,7.9049997,81.97
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,19:00:00,2,1032.0,1052.5,41.0,991.0,0.0,43.008198,6.88,94.79
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,20:00:00,2,793.0,794.5,3.0,790.0,0.0,46.355232,4.25,97.055
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,21:00:00,2,702.0,753.21423,2.0,700.0,0.0,46.673134,3.49,110.1
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,22:00:00,2,779.0,783.0,8.0,771.0,0.0,46.36918,4.15,99.45
VSGRX60,堤頂大道二段177號前,往西,2016-04-02,23:00:00,2,565.0,565.0,0.0,565.0,0.0,48.329205,2.49,107.815
VSGRX60,堤頂大道二段177號前,往西,2016-04-03,00:00:00,2,282.0,282.0,0.0,282.0,0.0,49.32698,1.25,144.475
