EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,00:00:00,2,205.0,219.64285,0.0,205.0,0.0,57.641605,1.0,144.04001
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,01:00:00,2,126.0,126.5,1.0,125.0,0.0,58.200558,0.675,162.5
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,02:00:00,2,72.0,72.5,1.0,71.0,0.0,57.625,0.51,176.25
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,03:00:00,2,47.0,50.35714,0.0,47.0,0.0,56.13149,0.325,200.25
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,04:00:00,2,35.0,35.0,0.0,35.0,0.0,58.71229,0.255,207.17
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,05:00:00,2,45.0,45.0,0.0,45.0,0.0,56.555332,0.32999998,197.66501
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,06:00:00,2,76.0,76.5,1.0,75.0,0.0,57.94829,0.445,183.91501
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,07:00:00,2,294.0,294.0,0.0,294.0,0.0,57.53469,1.335,154.65
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,08:00:00,2,754.0,770.0,32.0,722.0,0.0,52.337563,5.58,114.69
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,09:00:00,2,854.0,937.5,42.0,812.0,0.0,48.518032,7.67,90.384995
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,10:00:00,2,831.0,852.5,43.0,788.0,0.0,49.85176,6.575,99.8
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,11:00:00,2,840.0,861.0,42.0,798.0,0.0,51.283394,5.9049997,98.165
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,12:00:00,2,904.0,923.0,38.0,866.0,0.0,49.796425,7.22,93.365005
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,13:00:00,2,834.0,847.0,26.0,808.0,0.0,53.411243,5.3450003,95.869995
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,14:00:00,2,897.0,922.0,50.0,847.0,0.0,48.71873,5.9849997,93.125
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,15:00:00,2,908.0,1003.9285,58.0,850.0,0.0,46.62947,7.785,80.415
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,16:00:00,2,925.0,946.0,42.0,883.0,0.0,50.16429,6.0699997,93.815
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,17:00:00,2,903.0,924.5,43.0,860.0,0.0,52.35243,6.56,93.75
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,18:00:00,2,929.0,943.0,28.0,901.0,0.0,52.72187,6.225,102.365
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,19:00:00,2,988.0,1007.5,39.0,949.0,0.0,49.30668,7.4,90.035
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,20:00:00,2,796.0,798.0,4.0,792.0,0.0,55.733315,3.8850002,117.475
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,21:00:00,2,593.0,640.1786,9.0,584.0,0.0,54.14002,3.6100001,107.39
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,22:00:00,2,613.0,613.5,1.0,612.0,0.0,56.476765,2.855,115.55
VSPRA60,堤頂大道二段285號前,往西,2016-04-01,23:00:00,2,459.0,459.0,0.0,459.0,0.0,57.148735,2.075,133.565
VSPRA60,堤頂大道二段285號前,往西,2016-04-02,00:00:00,2,245.0,245.0,0.0,245.0,0.0,57.526367,1.105,150.1
VSPRA60,堤頂大道二段285號前,往西,2016-04-02,01:00:00,2,184.0,184.0,0.0,184.0,0.0,58.088696,0.9,142.455
