EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,00:00:00,2,349.0,369.661,29.0,320.0,0.0,44.966618,2.35,191.51001
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,01:00:00,2,252.0,265.0,26.0,226.0,0.0,49.694286,1.53,210.19
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,02:00:00,2,160.0,163.5,7.0,153.0,0.0,49.73525,0.88,233.995
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,03:00:00,2,107.0,108.0,2.0,105.0,0.0,52.327755,0.64,242.66501
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,04:00:00,2,93.0,98.0,10.0,83.0,0.0,53.085056,0.555,245.51001
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,05:00:00,2,96.0,99.5,7.0,89.0,0.0,51.844166,0.615,246.81
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,06:00:00,2,226.0,238.0,24.0,202.0,0.0,51.712566,1.325,218.35
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,07:00:00,2,601.0,629.5,57.0,544.0,0.0,49.814743,3.9650002,157.04001
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,08:00:00,1,917.0,958.0,82.0,835.0,0.0,41.68,14.27,72.68
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,09:00:00,2,1945.0,2014.0,138.0,1807.0,0.0,39.373096,15.785,70.19
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,10:00:00,2,1828.0,1916.0,176.0,1652.0,0.0,37.33111,15.809999,68.66
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,11:00:00,2,1666.0,1729.5,127.0,1539.0,0.0,41.61596,13.295,68.625
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,12:00:00,2,1427.0,1488.0,122.0,1305.0,0.0,41.48776,11.575001,86.615005
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,13:00:00,2,1468.0,1533.5,131.0,1337.0,0.0,42.483433,11.51,86.75
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,14:00:00,2,1301.0,1351.0,100.0,1201.0,0.0,41.21346,10.35,90.525
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,15:00:00,2,1465.0,1529.5,129.0,1336.0,0.0,40.25789,11.870001,78.225
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,16:00:00,2,1497.0,1570.5,147.0,1350.0,0.0,39.47262,13.45,77.295
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,17:00:00,2,1313.0,1446.3158,122.0,1191.0,0.0,38.2702,13.45,81.605
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,18:00:00,2,1502.0,1585.0,166.0,1336.0,0.0,36.35704,14.715,77.350006
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,19:00:00,2,1339.0,1428.5,179.0,1160.0,0.0,34.361168,14.414999,85.815
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,20:00:00,2,1233.0,1321.0,176.0,1057.0,0.0,36.989857,12.33,87.3
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,21:00:00,2,1051.0,1118.0,134.0,917.0,0.0,38.05934,9.625,106.3
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,22:00:00,2,851.0,889.5,77.0,774.0,0.0,41.07479,6.835,127.67
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-01,23:00:00,2,655.0,684.0,58.0,597.0,0.0,43.678272,4.885,149.5
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-02,00:00:00,2,437.0,456.5,39.0,398.0,0.0,47.98366,2.94,175.57999
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-02,01:00:00,2,303.0,313.0,20.0,283.0,0.0,51.777855,1.785,202.065
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-02,02:00:00,2,207.0,214.5,15.0,192.0,0.0,51.46594,1.19,224.76001
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-02,03:00:00,2,153.0,156.5,7.0,146.0,0.0,53.268955,0.84499997,238.35
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-02,04:00:00,2,145.0,147.5,5.0,140.0,0.0,55.81545,0.83000004,237.475
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-02,05:00:00,2,146.0,153.0,14.0,132.0,0.0,53.93918,0.88,235.38501
VQEUU60,民權東路六段(中天電視對面),往東,2016-04-02,06:00:00,2,233.0,239.5,13.0,220.0,0.0,51.747467,1.3,211.435
