EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,00:00:00,1,158.0,160.5,5.0,153.0,0.0,47.72,1.4,207.93
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,01:00:00,1,88.0,88.0,0.0,88.0,0.0,52.42,0.85,237.75
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,02:00:00,1,74.0,74.5,1.0,73.0,0.0,51.22,0.78,239.85
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,03:00:00,1,61.0,61.0,0.0,61.0,0.0,54.26,0.7,244.77
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,04:00:00,1,39.0,39.5,1.0,38.0,0.0,57.1,0.48,248.22
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,05:00:00,1,47.0,47.5,1.0,46.0,0.0,52.0,0.53,247.37
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,06:00:00,1,69.0,69.0,0.0,69.0,0.0,54.17,0.7,242.93
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,07:00:00,1,143.0,143.5,1.0,142.0,0.0,50.44,1.15,212.08
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,08:00:00,1,531.0,543.5,25.0,506.0,0.0,43.51,7.63,83.7
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,09:00:00,1,916.0,976.5,121.0,795.0,0.0,30.21,27.62,31.88
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,10:00:00,1,761.0,772.5,23.0,738.0,0.0,45.0,8.68,63.15
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,11:00:00,1,477.0,483.5,13.0,464.0,0.0,45.09,7.88,88.08
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,12:00:00,1,416.0,435.0,9.0,407.0,0.0,49.23,4.15,104.17
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,13:00:00,1,382.0,383.5,3.0,379.0,0.0,49.840004,3.22,112.77
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,14:00:00,1,442.0,444.5,5.0,437.0,0.0,47.49,4.23,95.5
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,15:00:00,1,474.0,477.5,7.0,467.0,0.0,46.13,4.68,85.22
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,16:00:00,1,478.0,481.5,7.0,471.0,0.0,46.76,4.97,94.07
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,17:00:00,1,471.0,471.0,0.0,471.0,0.0,47.59,4.25,85.38
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,18:00:00,1,199.0,487.20004,8.0,191.0,0.0,44.16,5.84,81.24
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,20:00:00,1,200.0,404.0,4.0,196.0,0.0,47.41,3.8,103.27
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,21:00:00,1,322.0,327.4576,0.0,322.0,0.0,50.84,2.69,130.71
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,22:00:00,1,348.0,348.5,1.0,347.0,0.0,47.32,2.97,123.45
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-01,23:00:00,1,278.0,280.0,4.0,274.0,0.0,49.37,2.43,156.57
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,00:00:00,1,183.0,186.0,6.0,177.0,0.0,50.9,1.55,188.45
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,01:00:00,1,126.0,127.0,2.0,124.0,0.0,52.43,1.05,217.83
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,02:00:00,1,83.0,83.5,1.0,82.0,0.0,51.25,0.83,233.92
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,03:00:00,1,66.0,66.0,0.0,66.0,0.0,53.47,0.67,238.78
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,04:00:00,1,50.0,51.0,2.0,48.0,0.0,54.32,0.58,244.93
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,05:00:00,1,57.0,57.5,1.0,56.0,0.0,51.53,0.62,239.63
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,06:00:00,1,69.0,69.5,1.0,68.0,0.0,49.58,0.65,235.67
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,07:00:00,1,97.0,98.0,2.0,95.0,0.0,52.970005,0.82,226.45
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,08:00:00,1,171.0,173.0,4.0,167.0,0.0,50.7,1.43,194.3
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,09:00:00,1,218.0,218.5,1.0,217.0,0.0,51.06,1.7,180.32
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,10:00:00,1,268.0,269.5,3.0,265.0,0.0,51.44,2.1,154.22
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,11:00:00,1,309.0,310.0,2.0,307.0,0.0,53.08,2.3,139.9
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,12:00:00,1,355.0,361.52542,1.0,354.0,0.0,49.13,3.04,121.61
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,13:00:00,1,356.0,356.5,1.0,355.0,0.0,49.36,2.97,127.37
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,14:00:00,1,336.0,337.0,2.0,334.0,0.0,52.22,2.68,135.18
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,15:00:00,1,389.0,390.5,3.0,386.0,0.0,51.19,3.15,115.8
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,16:00:00,1,341.0,344.0,6.0,335.0,0.0,51.87,2.73,138.32
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,17:00:00,1,346.0,347.5,3.0,343.0,0.0,50.73,2.8,130.68
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,18:00:00,1,343.0,343.0,0.0,343.0,0.0,52.55,2.73,133.23
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,19:00:00,1,364.0,364.5,1.0,363.0,0.0,47.3,3.42,126.05
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,20:00:00,1,270.0,270.0,0.0,270.0,0.0,48.58,2.32,153.87
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,21:00:00,1,257.0,257.0,0.0,257.0,0.0,49.81,2.13,153.7
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,22:00:00,1,278.0,278.0,0.0,278.0,0.0,48.0,2.43,151.32
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-02,23:00:00,1,222.0,223.5,3.0,219.0,0.0,49.849995,1.87,168.87
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-03,00:00:00,1,139.0,141.0,4.0,135.0,0.0,48.81,1.13,210.35
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-03,01:00:00,1,84.0,85.0,2.0,82.0,0.0,42.23,0.8,236.33
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-03,02:00:00,1,64.0,64.0,0.0,64.0,0.0,40.38,0.67,242.92
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往東,2016-04-03,03:00:00,1,52.0,52.5,1.0,51.0,0.0,30.44,0.55,243.15
