EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSEMV60,明水路417號前,往東,2016-04-01,00:00:00,2,375.0,390.50848,18.0,357.0,0.0,66.10104,1.895,0.0
VSEMV60,明水路417號前,往東,2016-04-01,01:00:00,2,214.0,220.16948,5.0,209.0,0.0,67.235695,1.115,0.0
VSEMV60,明水路417號前,往東,2016-04-01,02:00:00,2,166.0,173.38983,9.0,157.0,0.0,66.87801,0.915,0.0
VSEMV60,明水路417號前,往東,2016-04-01,03:00:00,2,106.0,109.32203,3.0,103.0,0.0,72.463394,0.5,0.0
VSEMV60,明水路417號前,往東,2016-04-01,04:00:00,2,93.0,98.13559,7.0,86.0,0.0,66.91774,0.53999996,0.0
VSEMV60,明水路417號前,往東,2016-04-01,05:00:00,2,85.0,90.0,7.0,78.0,0.0,70.56483,0.46499997,0.0
VSEMV60,明水路417號前,往東,2016-04-01,06:00:00,2,144.0,154.0678,15.0,129.0,0.0,69.705414,0.79,0.0
VSEMV60,明水路417號前,往東,2016-04-01,07:00:00,2,412.0,426.61017,15.0,397.0,0.0,64.67789,2.13,0.0
VSEMV60,明水路417號前,往東,2016-04-01,08:00:00,2,1350.0,1386.6101,27.0,1323.0,0.0,55.43262,7.8599997,0.0
VSEMV60,明水路417號前,往東,2016-04-01,09:00:00,2,1965.0,2089.8306,180.0,1785.0,0.0,45.643093,14.955,0.0
VSEMV60,明水路417號前,往東,2016-04-01,10:00:00,2,1532.0,1586.9491,57.0,1475.0,0.0,53.94054,9.22,0.0
VSEMV60,明水路417號前,往東,2016-04-01,11:00:00,2,1187.0,1241.3794,26.0,1161.0,0.0,58.055378,6.6400003,0.0
VSEMV60,明水路417號前,往東,2016-04-01,12:00:00,2,1254.0,1294.0679,37.0,1217.0,0.0,56.62692,7.12,0.0
VSEMV60,明水路417號前,往東,2016-04-01,13:00:00,2,1122.0,1164.9153,47.0,1075.0,0.0,58.65533,6.2749996,0.0
VSEMV60,明水路417號前,往東,2016-04-01,14:00:00,2,1243.0,1276.2712,24.0,1219.0,0.0,57.07895,7.05,0.0
VSEMV60,明水路417號前,往東,2016-04-01,15:00:00,2,1243.0,1279.8304,31.0,1212.0,0.0,56.016438,7.2,0.0
VSEMV60,明水路417號前,往東,2016-04-01,16:00:00,2,1342.0,1381.5254,33.0,1309.0,0.0,56.029266,7.785,0.0
VSEMV60,明水路417號前,往東,2016-04-01,17:00:00,2,1390.0,1428.8135,30.0,1360.0,0.0,55.601585,8.045,0.0
VSEMV60,明水路417號前,往東,2016-04-01,18:00:00,2,1643.0,1684.0677,26.0,1617.0,0.0,52.257,10.13,0.0
VSEMV60,明水路417號前,往東,2016-04-01,19:00:00,2,1706.0,1827.8948,61.0,1645.0,0.0,49.519234,11.68,0.0
