EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,00:00:00,1,99.0,101.18644,1.0,98.0,0.0,62.87,1.07,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,01:00:00,1,54.0,55.9322,2.0,52.0,0.0,67.18,0.69,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,02:00:00,1,36.0,37.118645,1.0,35.0,0.0,65.36,0.49,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,03:00:00,1,22.0,22.37288,0.0,22.0,0.0,61.05,0.3,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,04:00:00,1,14.0,14.2372875,0.0,14.0,0.0,66.71,0.21,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,05:00:00,1,15.0,15.254237,0.0,15.0,0.0,67.87,0.22,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,06:00:00,1,27.0,27.9661,1.0,26.0,0.0,68.44,0.39,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,07:00:00,1,113.0,116.94915,4.0,109.0,0.0,65.24,1.23,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,08:00:00,1,483.0,516.2069,32.0,451.0,0.0,49.91,6.95,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,09:00:00,1,905.0,984.9152,127.0,778.0,0.0,38.929996,17.84,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,10:00:00,1,603.0,635.0847,43.0,560.0,0.0,53.4,8.03,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,11:00:00,1,356.0,371.89658,7.0,349.0,0.0,59.71,3.93,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,12:00:00,1,344.0,350.5,13.0,331.0,0.0,59.04,3.82,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,13:00:00,1,312.0,328.9655,12.0,300.0,0.0,59.48,3.54,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,14:00:00,1,307.0,318.81354,13.0,294.0,0.0,60.2,3.41,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,15:00:00,1,377.0,391.52542,18.0,358.0,1.0,57.720005,4.32,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,16:00:00,1,365.0,395.89285,9.0,356.0,0.0,57.64,4.36,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,17:00:00,1,383.0,398.1356,17.0,366.0,0.0,55.68,4.63,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,18:00:00,1,404.0,415.9322,10.0,394.0,0.0,53.93,4.93,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,19:00:00,1,400.0,412.88135,12.0,388.0,0.0,53.36,4.93,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,20:00:00,1,343.0,358.9655,8.0,335.0,0.0,54.36,4.14,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,21:00:00,1,250.0,255.5,11.0,239.0,0.0,55.1,3.0,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,22:00:00,1,292.0,301.01694,8.0,284.0,0.0,55.33,3.44,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-01,23:00:00,1,223.0,228.30508,3.0,220.0,0.0,57.01,2.53,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-02,00:00:00,1,105.0,106.779655,0.0,105.0,0.0,58.8,1.27,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-04-02,01:00:00,1,63.0,64.57627,1.0,62.0,0.0,67.84,0.72,0.0
