EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSQYA00,金湖路268號前,往東,2016-04-01,00:00:00,1,116.0,120.5,9.0,107.0,0.0,56.21,1.08,0.02
VSQYA00,金湖路268號前,往東,2016-04-01,01:00:00,1,62.0,64.5,5.0,57.0,0.0,60.27,0.68,0.02
VSQYA00,金湖路268號前,往東,2016-04-01,02:00:00,1,30.0,30.5,1.0,29.0,0.0,59.83,0.43,0.0
VSQYA00,金湖路268號前,往東,2016-04-01,03:00:00,1,31.0,31.0,0.0,31.0,0.0,57.0,0.38,0.0
VSQYA00,金湖路268號前,往東,2016-04-01,04:00:00,1,15.0,15.5,1.0,14.0,0.0,54.529995,0.22,0.0
VSQYA00,金湖路268號前,往東,2016-04-01,05:00:00,1,14.0,14.0,0.0,14.0,0.0,52.29,0.2,0.0
VSQYA00,金湖路268號前,往東,2016-04-01,06:00:00,1,20.0,20.0,0.0,20.0,0.0,55.35,0.32,0.0
VSQYA00,金湖路268號前,往東,2016-04-01,07:00:00,1,131.0,134.5,7.0,124.0,0.0,56.64,1.23,0.07
VSQYA00,金湖路268號前,往東,2016-04-01,08:00:00,1,515.0,522.5,15.0,500.0,0.0,55.51,3.6,0.03
VSQYA00,金湖路268號前,往東,2016-04-01,09:00:00,1,359.0,366.5,15.0,344.0,0.0,54.94,2.68,0.12
VSQYA00,金湖路268號前,往東,2016-04-01,10:00:00,1,308.0,317.5,19.0,289.0,0.0,53.67,2.57,0.1
VSQYA00,金湖路268號前,往東,2016-04-01,11:00:00,1,248.0,254.0,12.0,236.0,0.0,56.34,1.8,0.1
VSQYA00,金湖路268號前,往東,2016-04-01,12:00:00,1,287.0,300.50845,17.0,270.0,0.0,55.23,2.01,0.05
VSQYA00,金湖路268號前,往東,2016-04-01,13:00:00,1,282.0,297.4138,11.0,271.0,0.0,53.96,2.0,0.08
VSQYA00,金湖路268號前,往東,2016-04-01,14:00:00,1,261.0,268.5,15.0,246.0,0.0,57.99,1.98,0.07
VSQYA00,金湖路268號前,往東,2016-04-01,15:00:00,1,258.0,262.0,8.0,250.0,0.0,58.77,1.48,0.07
VSQYA00,金湖路268號前,往東,2016-04-01,16:00:00,1,281.0,287.5,13.0,268.0,0.0,56.01,1.98,0.05
