EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,00:00:00,2,82.0,203.07693,12.0,70.0,0.0,53.096222,1.3,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,01:00:00,2,124.0,130.67796,9.0,115.0,0.0,74.64589,0.6,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,02:00:00,2,93.0,103.72881,18.0,75.0,0.0,74.35655,0.46499997,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,03:00:00,2,51.0,55.9322,8.0,43.0,0.0,77.42843,0.29500002,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,04:00:00,2,43.0,47.28813,7.0,36.0,0.0,79.000465,0.215,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,05:00:00,2,53.0,58.47457,9.0,44.0,0.0,67.679245,0.26,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,06:00:00,2,129.0,152.54237,42.0,87.0,0.0,75.89813,0.71,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,07:00:00,2,403.0,439.32202,58.0,345.0,0.0,68.833405,2.165,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,08:00:00,2,864.0,938.9474,56.0,808.0,0.0,61.223194,5.065,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,09:00:00,2,1072.0,1145.0847,108.0,964.0,0.0,57.86663,6.675,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,10:00:00,2,924.0,993.5593,106.0,818.0,0.0,62.44385,5.26,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,11:00:00,2,818.0,903.6207,111.0,707.0,0.0,64.514626,4.745,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,12:00:00,2,737.0,785.59326,71.0,666.0,0.0,65.622734,4.02,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,13:00:00,2,717.0,763.22034,67.0,650.0,0.0,67.89594,3.685,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,14:00:00,2,766.0,817.6271,76.0,690.0,0.0,62.522167,4.33,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,15:00:00,2,796.0,845.5932,71.0,725.0,0.0,65.4408,4.1549997,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,16:00:00,2,802.0,857.7966,83.0,719.0,0.0,64.074615,4.75,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,17:00:00,2,935.0,995.59314,88.0,847.0,0.0,63.001858,5.205,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,18:00:00,2,1031.0,1086.6101,75.0,956.0,0.0,62.041965,5.705,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,19:00:00,2,876.0,924.9152,67.0,809.0,0.0,55.35623,5.495,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,20:00:00,2,740.0,792.71185,79.0,661.0,0.0,62.34588,4.1,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,21:00:00,2,635.0,688.98303,85.0,550.0,0.0,63.22858,3.3400002,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,22:00:00,2,592.0,634.5763,64.0,528.0,0.0,61.52625,3.44,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-01,23:00:00,2,474.0,503.8983,43.0,431.0,0.0,66.51724,2.585,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,00:00:00,2,247.0,271.57895,22.0,225.0,0.0,64.1777,1.45,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,01:00:00,2,155.0,159.66101,4.0,151.0,0.0,62.085804,0.78,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,02:00:00,2,94.0,96.61017,2.0,92.0,0.0,71.99894,0.49,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,03:00:00,2,66.0,71.18644,8.0,58.0,0.0,64.669395,0.34,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,04:00:00,2,60.0,66.10169,10.0,50.0,0.0,77.76616,0.12,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,05:00:00,2,79.0,82.881355,5.0,74.0,0.0,76.05038,0.26500002,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,06:00:00,2,136.0,146.94914,17.0,119.0,0.0,74.05265,0.715,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,07:00:00,2,305.0,328.98303,37.0,268.0,0.0,70.77393,1.52,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,08:00:00,2,461.0,515.6897,75.0,386.0,0.0,67.19363,2.4,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,09:00:00,2,602.0,649.8305,74.0,528.0,0.0,68.02914,3.21,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,10:00:00,2,636.0,683.89825,73.0,563.0,0.0,68.282845,3.1599998,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,11:00:00,2,626.0,675.2542,76.0,550.0,0.0,68.26195,3.395,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,12:00:00,2,598.0,630.5085,44.0,554.0,0.0,67.50876,3.135,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,13:00:00,2,597.0,631.01697,47.0,550.0,0.0,68.126816,3.025,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,14:00:00,2,597.0,635.5932,56.0,541.0,0.0,67.96107,3.04,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,15:00:00,2,86.0,674.99994,8.0,78.0,0.0,69.49732,3.13,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,17:00:00,2,422.0,641.7073,33.0,389.0,0.0,63.41339,3.28,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,18:00:00,2,596.0,646.2712,79.0,517.0,0.0,68.21457,3.075,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,19:00:00,2,514.0,536.94916,28.0,486.0,0.0,63.829433,2.75,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,20:00:00,2,428.0,450.50845,30.0,398.0,0.0,60.750816,2.58,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,21:00:00,2,414.0,437.28812,32.0,382.0,0.0,65.62106,2.185,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-02,22:00:00,2,71.0,403.63635,6.0,65.0,0.0,73.89887,1.565,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,00:00:00,2,67.0,161.53847,6.0,61.0,0.0,67.82314,0.735,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,01:00:00,2,142.0,154.57626,20.0,122.0,0.0,63.35493,0.795,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,02:00:00,2,115.0,120.50847,7.0,108.0,0.0,76.32713,0.52500004,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,03:00:00,2,65.0,81.355934,30.0,35.0,0.0,83.552315,0.35999998,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,04:00:00,2,64.0,71.694916,13.0,51.0,0.0,69.657814,0.34,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,05:00:00,2,58.0,68.644066,19.0,39.0,0.0,85.13551,0.27,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,06:00:00,2,124.0,135.76271,19.0,105.0,0.0,73.84049,0.62,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,07:00:00,2,229.0,256.77966,47.0,182.0,0.0,68.115715,1.2,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,08:00:00,2,340.0,378.10345,51.0,289.0,0.0,66.135,1.88,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,09:00:00,2,460.0,495.2542,54.0,406.0,0.0,69.62374,2.37,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往北,2016-04-03,10:00:00,2,534.0,566.4407,46.0,488.0,0.0,65.72017,2.885,0.0
