EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,00:00:00,4,242.0,252.5,21.0,221.0,0.0,53.051033,0.96000004,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,01:00:00,4,109.0,113.5,9.0,100.0,0.0,55.177612,0.48000002,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,02:00:00,4,63.0,67.0,8.0,55.0,0.0,56.01635,0.28,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,03:00:00,4,69.0,70.0,2.0,67.0,0.0,57.489853,0.2475,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,04:00:00,4,45.0,46.0,2.0,43.0,0.0,59.422,0.1825,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,05:00:00,4,69.0,73.0,8.0,61.0,0.0,57.535797,0.305,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,06:00:00,4,144.0,152.5,17.0,127.0,0.0,52.310486,0.66499996,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,07:00:00,4,346.0,370.5,49.0,297.0,0.0,51.395287,1.4775001,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,08:00:00,4,808.0,833.5,51.0,757.0,0.0,54.87996,2.655,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,09:00:00,4,1173.0,1210.0,74.0,1099.0,0.0,53.5008,3.7624998,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,10:00:00,4,1143.0,1197.0,108.0,1035.0,0.0,46.06174,4.3125,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,11:00:00,4,1204.0,1251.5,95.0,1109.0,0.0,46.605957,4.48,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,12:00:00,4,1229.0,1270.0,82.0,1147.0,0.0,46.363144,4.4049997,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,13:00:00,4,1258.0,1294.5,73.0,1185.0,0.0,47.7285,4.2200003,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,14:00:00,4,1316.0,1367.5,103.0,1213.0,0.0,45.040234,4.87,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,15:00:00,4,1422.0,1483.0,122.0,1300.0,0.0,43.935707,5.5550003,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,16:00:00,4,1384.0,1434.0,100.0,1284.0,0.0,44.856434,5.0699997,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,17:00:00,4,1314.0,1372.5,117.0,1197.0,0.0,44.26591,5.085,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,18:00:00,4,1224.0,1268.5,89.0,1135.0,0.0,46.0088,4.425,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,19:00:00,4,1135.0,1188.8135,68.0,1067.0,0.0,46.723217,4.0975,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,20:00:00,4,1059.0,1098.0,78.0,981.0,0.0,44.166477,3.995,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,21:00:00,4,1039.0,1079.0,80.0,959.0,0.0,43.240456,4.1075,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,22:00:00,4,971.0,1001.0,60.0,911.0,0.0,45.2346,3.4825,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-01,23:00:00,4,627.0,650.5,47.0,580.0,0.0,49.553223,2.4075,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,00:00:00,4,293.0,303.5,21.0,272.0,0.0,50.534813,1.1600001,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,01:00:00,4,159.0,163.5,9.0,150.0,0.0,50.2761,0.6625,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,02:00:00,4,114.0,115.5,3.0,111.0,0.0,50.537632,0.45250002,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,03:00:00,4,60.0,61.0,2.0,58.0,0.0,56.048664,0.2425,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,04:00:00,4,68.0,69.5,3.0,65.0,0.0,57.176323,0.28,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,05:00:00,4,94.0,95.0,2.0,92.0,0.0,55.308407,0.395,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,06:00:00,4,172.0,179.0,14.0,158.0,0.0,54.55512,0.71000004,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,07:00:00,4,294.0,304.5,21.0,273.0,0.0,51.46653,1.095,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,08:00:00,4,361.0,374.0,26.0,335.0,0.0,50.372215,1.3775,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,09:00:00,4,539.0,555.5,33.0,506.0,0.0,52.1913,1.8525001,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,10:00:00,4,718.0,734.5,33.0,685.0,0.0,51.232563,2.3025,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,11:00:00,4,884.0,910.0,52.0,832.0,0.0,48.789265,2.975,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,12:00:00,4,1026.0,1051.0,50.0,976.0,0.0,50.400173,3.295,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,13:00:00,4,994.0,1027.0,66.0,928.0,0.0,49.06103,3.3925,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,14:00:00,4,1034.0,1061.0,54.0,980.0,0.0,47.890804,3.4775,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,15:00:00,4,1140.0,1175.0,70.0,1070.0,0.0,46.20638,4.13,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,16:00:00,4,1271.0,1316.0,90.0,1181.0,0.0,44.535515,4.845,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,17:00:00,4,1225.0,1269.5,89.0,1136.0,0.0,43.68714,4.9075003,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,18:00:00,4,1267.0,1320.0,106.0,1161.0,0.0,39.829906,5.3050003,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,19:00:00,4,1051.0,1097.2881,56.0,995.0,0.0,41.172386,4.1575003,0.0
VPBTD70,舊宗路一段與舊宗路一段150巷口,北,2016-04-02,20:00:00,4,1097.0,1123.5,53.0,1044.0,0.0,44.501045,3.935,0.0
