EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL40,成功路二段373號前,往北,2016-04-01,00:00:00,2,161.0,532.1053,15.0,146.0,0.0,58.399067,2.845,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,07:00:00,2,155.0,959.99994,10.0,145.0,0.0,55.915356,5.6499996,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,08:00:00,2,1085.0,1163.2759,79.0,1006.0,0.0,55.649265,6.565,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,09:00:00,2,1141.0,1209.1525,96.0,1045.0,0.0,54.067757,7.1400003,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,10:00:00,2,1109.0,1179.6609,102.0,1007.0,0.0,51.883858,7.3050003,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,11:00:00,2,949.0,1026.7241,87.0,862.0,0.0,52.158817,6.3050003,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,12:00:00,2,1087.0,1154.7457,97.0,990.0,0.0,49.950863,7.465,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,13:00:00,2,962.0,1018.47455,79.0,883.0,0.0,52.019344,6.275,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,14:00:00,2,863.0,908.64404,61.0,802.0,0.0,51.17393,5.71,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,15:00:00,2,967.0,1012.88135,58.0,909.0,0.0,52.21695,6.185,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,16:00:00,2,1011.0,1059.1526,61.0,950.0,0.0,52.618465,6.4350004,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,17:00:00,2,1142.0,1189.8306,56.0,1086.0,0.0,51.532017,7.37,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,18:00:00,2,1253.0,1309.322,69.0,1184.0,0.0,52.04952,7.975,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,19:00:00,2,1402.0,1471.0168,89.0,1313.0,0.0,49.13853,9.495,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,20:00:00,2,1215.0,1270.1694,68.0,1147.0,0.0,49.65131,8.075,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,21:00:00,2,1073.0,1132.3728,81.0,992.0,0.0,50.940903,7.165,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,22:00:00,2,980.0,1029.1525,64.0,916.0,0.0,51.827614,6.2749996,0.0
VQKWL40,成功路二段373號前,往北,2016-04-01,23:00:00,2,871.0,908.13556,44.0,827.0,0.0,53.211987,5.45,0.0
VQKWL40,成功路二段373號前,往北,2016-04-02,00:00:00,2,176.0,571.579,10.0,166.0,0.0,54.1496,3.2849998,0.0
VQKWL40,成功路二段373號前,往北,2016-04-02,07:00:00,2,86.0,590.0,5.0,81.0,0.0,57.820698,3.405,0.0
VQKWL40,成功路二段373號前,往北,2016-04-02,08:00:00,2,616.0,660.5173,45.0,571.0,0.0,57.792892,3.645,0.0
VQKWL40,成功路二段373號前,往北,2016-04-02,09:00:00,2,821.0,857.79663,45.0,776.0,0.0,55.098545,4.915,0.0
VQKWL40,成功路二段373號前,往北,2016-04-02,10:00:00,2,933.0,973.22034,48.0,885.0,0.0,54.251465,5.585,0.0
VQKWL40,成功路二段373號前,往北,2016-04-02,11:00:00,2,1112.0,1154.7457,47.0,1065.0,0.0,53.62968,6.835,0.0
VQKWL40,成功路二段373號前,往北,2016-04-02,12:00:00,2,1022.0,1061.6948,44.0,978.0,0.0,54.153545,6.205,0.0
