EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,00:00:00,3,201.0,215.35713,0.0,201.0,0.0,59.31179,0.7166667,151.19666
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,01:00:00,3,112.0,112.0,0.0,112.0,0.0,59.660362,0.41,182.19334
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,02:00:00,3,61.0,61.0,0.0,61.0,0.0,61.064426,0.25,202.08333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,03:00:00,3,43.0,46.071426,0.0,43.0,0.0,60.25628,0.21666665,214.33333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,04:00:00,3,34.0,34.0,0.0,34.0,0.0,62.443825,0.15666667,224.72002
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,05:00:00,3,49.0,49.0,0.0,49.0,0.0,58.10347,0.23666666,208.5
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,06:00:00,3,113.0,113.0,0.0,113.0,0.0,57.060616,0.44999996,178.72333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,07:00:00,3,433.0,435.0,4.0,429.0,0.0,56.37252,1.2766666,127.47333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,08:00:00,3,1089.0,1093.0,8.0,1081.0,0.0,53.589733,3.0,96.13333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,09:00:00,3,837.0,901.6072,9.0,828.0,0.0,55.80298,2.55,108.57001
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,10:00:00,3,681.0,685.5,9.0,672.0,0.0,54.98066,1.9133333,121.32
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,11:00:00,3,624.0,626.0,4.0,620.0,0.0,56.21388,1.6899999,118.73
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,12:00:00,3,667.0,667.5,1.0,666.0,0.0,56.47956,1.71,115.31667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,13:00:00,3,607.0,610.5,7.0,600.0,0.0,55.928055,1.7433335,114.15334
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,14:00:00,3,624.0,627.5,7.0,617.0,0.0,56.61293,1.7866668,111.17334
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,15:00:00,3,588.0,634.8214,9.0,579.0,0.0,56.705914,1.6633333,123.17667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,16:00:00,3,657.0,660.5,7.0,650.0,0.0,56.061253,1.7766666,119.293335
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,17:00:00,3,818.0,822.0,8.0,810.0,0.0,56.069664,2.16,115.27667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,18:00:00,3,860.0,863.0,6.0,854.0,0.0,56.525383,2.1566665,112.59667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,19:00:00,3,954.0,960.0,12.0,942.0,0.0,55.12609,2.5666666,104.10333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,20:00:00,3,719.0,735.7627,9.0,710.0,0.0,55.62508,2.0200002,107.82666
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,21:00:00,3,496.0,526.8421,9.0,487.0,0.0,57.12121,1.4766668,123.25666
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,22:00:00,3,470.0,472.0,4.0,466.0,0.0,57.606937,1.3066667,125.51666
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-01,23:00:00,3,430.0,432.0,4.0,426.0,0.0,57.298973,1.2066666,140.55666
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,00:00:00,3,257.0,258.5,3.0,254.0,0.0,58.5079,0.8066667,148.27667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,01:00:00,3,183.0,183.5,1.0,182.0,0.0,59.72727,0.56666666,171.86
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,02:00:00,3,102.0,103.72881,0.0,102.0,0.0,59.97431,0.41,182.10667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,03:00:00,3,68.0,71.57895,0.0,68.0,0.0,61.234116,0.31000003,195.84668
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,04:00:00,3,60.0,60.0,0.0,60.0,0.0,62.28167,0.23,213.72333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,05:00:00,3,54.0,54.0,0.0,54.0,0.0,60.05778,0.23333333,210.77667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,06:00:00,3,98.0,98.0,0.0,98.0,0.0,60.69857,0.35,199.02667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,07:00:00,3,219.0,220.0,2.0,217.0,0.0,57.701733,0.74333334,160.52667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,08:00:00,3,339.0,341.0,4.0,335.0,0.0,57.465134,1.0200001,134.95
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,09:00:00,3,418.0,448.92856,2.0,416.0,0.0,57.773563,1.2166667,133.59999
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,10:00:00,3,540.0,542.0,4.0,536.0,0.0,57.079777,1.4766666,125.85667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,11:00:00,3,648.0,649.0,2.0,646.0,0.0,58.315212,1.5966667,121.46334
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,12:00:00,3,612.0,613.0,2.0,610.0,0.0,59.540108,1.4433333,123.5
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,13:00:00,3,617.0,621.0,8.0,609.0,0.0,58.54963,1.6999999,116.36001
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,14:00:00,3,624.0,625.5,3.0,621.0,0.0,57.95139,1.68,110.013336
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,15:00:00,3,597.0,641.25,3.0,594.0,0.0,58.309483,1.6166667,111.31
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,16:00:00,3,674.0,678.0,8.0,666.0,0.0,57.410103,1.7199999,124.87667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,17:00:00,3,616.0,618.5,5.0,611.0,0.0,57.249416,1.5566667,120.216675
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,18:00:00,3,583.0,584.0,2.0,581.0,0.0,57.790585,1.4833332,124.37333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,19:00:00,3,545.0,547.0,4.0,541.0,0.0,57.447025,1.4,120.81667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,20:00:00,3,409.0,412.0,6.0,403.0,0.0,57.59411,1.1566666,124.746666
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,21:00:00,3,410.0,441.42856,4.0,406.0,0.0,57.157803,1.1733333,129.78667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,22:00:00,3,403.0,404.5,3.0,400.0,0.0,58.10049,1.1333333,129.58
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-02,23:00:00,3,332.0,334.0,4.0,328.0,0.0,57.583015,0.9833333,137.74333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,00:00:00,3,197.0,197.5,1.0,196.0,0.0,58.91761,0.61,162.55666
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,01:00:00,3,123.0,123.0,0.0,123.0,0.0,59.910164,0.42666665,183.33333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,02:00:00,3,82.0,83.389824,0.0,82.0,0.0,60.645977,0.32000002,193.37334
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,03:00:00,3,61.0,64.210526,0.0,61.0,0.0,60.65738,0.29666668,201.23334
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,04:00:00,3,41.0,41.0,0.0,41.0,0.0,60.927074,0.18,218.67
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,05:00:00,3,55.0,55.5,1.0,54.0,0.0,59.071815,0.23000002,215.13667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,06:00:00,3,90.0,90.0,0.0,90.0,0.0,60.226334,0.35333332,193.08333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,07:00:00,3,173.0,174.5,3.0,170.0,0.0,58.45121,0.64000005,172.61
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,08:00:00,3,311.0,313.0,4.0,307.0,0.0,56.868004,1.0266666,144.09001
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,09:00:00,3,387.0,417.3214,5.0,382.0,0.0,57.762577,1.2866668,125.31
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,10:00:00,3,536.0,538.0,4.0,532.0,0.0,57.781097,1.4766666,124.17667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,11:00:00,3,595.0,596.0,2.0,593.0,0.0,58.609245,1.4433333,126.61001
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,12:00:00,3,617.0,618.5,3.0,614.0,0.0,58.938496,1.5066667,133.55333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,13:00:00,3,519.0,521.0,4.0,515.0,0.0,58.326084,1.3499999,117.87333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,14:00:00,3,537.0,547.11865,2.0,535.0,0.0,57.975048,1.4066666,123.700005
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,15:00:00,3,586.0,619.4737,5.0,581.0,0.0,56.98976,1.6500001,118.80667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,16:00:00,3,531.0,532.0,2.0,529.0,0.0,57.16384,1.4499999,118.35667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,17:00:00,3,497.0,499.5,5.0,492.0,0.0,57.572758,1.3366666,124.73667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,18:00:00,3,509.0,509.0,0.0,509.0,0.0,57.990078,1.32,123.35667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,19:00:00,3,434.0,436.0,4.0,430.0,0.0,57.084217,1.1999999,133.29333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,20:00:00,3,385.0,387.0,4.0,381.0,0.0,57.224575,1.0766667,133.32333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,21:00:00,3,388.0,418.39285,5.0,383.0,0.0,57.2601,1.2266667,130.39333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,22:00:00,3,340.0,342.0,4.0,336.0,0.0,57.941235,0.9766666,153.96667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-03,23:00:00,3,313.0,314.5,3.0,310.0,0.0,58.43038,0.8766667,142.61
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-04,00:00:00,3,216.0,216.5,1.0,215.0,0.0,59.90898,0.6666667,166.75
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-04,01:00:00,3,114.0,114.0,0.0,114.0,0.0,59.86737,0.43000004,182.27667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-04,02:00:00,3,82.0,82.0,0.0,82.0,0.0,59.180855,0.34,185.91667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-04-04,03:00:00,3,49.0,52.499996,0.0,49.0,0.0,61.83735,0.24000001,206.22002
