EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSWMR40,北安路520號對面人行道,往北,2016-04-01,00:00:00,2,388.0,416.25,1.0,387.0,0.0,46.796906,0.385,30.54
VSWMR40,北安路520號對面人行道,往北,2016-04-01,01:00:00,2,235.0,235.0,0.0,235.0,0.0,49.03166,0.235,29.95
VSWMR40,北安路520號對面人行道,往北,2016-04-01,02:00:00,2,156.0,156.0,0.0,156.0,0.0,47.554424,0.2,32.71
VSWMR40,北安路520號對面人行道,往北,2016-04-01,03:00:00,2,95.0,102.32143,1.0,94.0,0.0,48.189896,0.18,31.859999
VSWMR40,北安路520號對面人行道,往北,2016-04-01,04:00:00,2,126.0,126.5,1.0,125.0,0.0,46.6373,0.2,34.425
VSWMR40,北安路520號對面人行道,往北,2016-04-01,05:00:00,2,115.0,115.0,0.0,115.0,0.0,48.83739,0.2,36.364998
VSWMR40,北安路520號對面人行道,往北,2016-04-01,06:00:00,2,171.0,172.0,2.0,169.0,0.0,48.62965,0.215,31.994999
VSWMR40,北安路520號對面人行道,往北,2016-04-01,07:00:00,2,489.0,496.5,15.0,474.0,0.0,45.455273,0.585,23.27
VSWMR40,北安路520號對面人行道,往北,2016-04-01,08:00:00,2,1023.0,1055.0847,29.0,994.0,0.0,44.607,1.31,13.82
VSWMR40,北安路520號對面人行道,往北,2016-04-01,09:00:00,2,1059.0,1131.5789,32.0,1027.0,0.0,43.17152,1.44,10.705
VSWMR40,北安路520號對面人行道,往北,2016-04-01,10:00:00,2,1200.0,1221.0,42.0,1158.0,0.0,39.78875,1.85,11.389999
VSWMR40,北安路520號對面人行道,往北,2016-04-01,11:00:00,2,1005.0,1063.0,116.0,889.0,0.0,34.43007,2.175,13.26
VSWMR40,北安路520號對面人行道,往北,2016-04-01,12:00:00,2,1035.0,1098.5,127.0,908.0,0.0,32.53769,2.58,12.309999
VSWMR40,北安路520號對面人行道,往北,2016-04-01,13:00:00,2,1111.0,1121.0,20.0,1091.0,0.0,41.54812,1.46,12.475
VSWMR40,北安路520號對面人行道,往北,2016-04-01,14:00:00,2,1102.0,1135.4237,29.0,1073.0,0.0,40.727634,1.59,13.15
VSWMR40,北安路520號對面人行道,往北,2016-04-01,15:00:00,2,1071.0,1150.0,43.0,1028.0,0.0,38.28667,1.69,10.889999
VSWMR40,北安路520號對面人行道,往北,2016-04-01,16:00:00,2,1108.0,1131.0,46.0,1062.0,0.0,39.00596,1.865,12.525
VSWMR40,北安路520號對面人行道,往北,2016-04-01,17:00:00,2,1250.0,1277.0,54.0,1196.0,0.0,38.536816,2.07,11.04
VSWMR40,北安路520號對面人行道,往北,2016-04-01,18:00:00,2,1382.0,1442.0,120.0,1262.0,0.0,33.23392,3.165,9.764999
VSWMR40,北安路520號對面人行道,往北,2016-04-01,19:00:00,2,1375.0,1417.5,85.0,1290.0,0.0,34.697857,2.685,9.84
VSWMR40,北安路520號對面人行道,往北,2016-04-01,20:00:00,2,1141.0,1171.0,60.0,1081.0,0.0,40.672016,1.935,11.975
VSWMR40,北安路520號對面人行道,往北,2016-04-01,21:00:00,2,885.0,956.25,15.0,870.0,0.0,41.862667,1.2,13.165
VSWMR40,北安路520號對面人行道,往北,2016-04-01,22:00:00,2,976.0,989.5,27.0,949.0,0.0,39.176395,1.4300001,14.15
VSWMR40,北安路520號對面人行道,往北,2016-04-01,23:00:00,2,784.0,790.5,13.0,771.0,0.0,44.422806,0.90999997,18.555
VSWMR40,北安路520號對面人行道,往北,2016-04-02,00:00:00,2,481.0,482.0,2.0,479.0,0.0,45.924263,0.49,30.470001
VSWMR40,北安路520號對面人行道,往北,2016-04-02,01:00:00,2,345.0,345.0,0.0,345.0,0.0,47.289047,0.35000002,34.275
VSWMR40,北安路520號對面人行道,往北,2016-04-02,02:00:00,2,252.0,256.77966,1.0,251.0,0.0,48.272976,0.24,30.095
VSWMR40,北安路520號對面人行道,往北,2016-04-02,03:00:00,2,182.0,191.57895,0.0,182.0,0.0,48.219673,0.2,24.509998
VSWMR40,北安路520號對面人行道,往北,2016-04-02,04:00:00,2,171.0,171.5,1.0,170.0,0.0,48.703506,0.2,32.385
VSWMR40,北安路520號對面人行道,往北,2016-04-02,05:00:00,2,150.0,150.5,1.0,149.0,0.0,48.8376,0.2,31.81
VSWMR40,北安路520號對面人行道,往北,2016-04-02,06:00:00,2,212.0,212.5,1.0,211.0,0.0,47.18264,0.235,27.91
VSWMR40,北安路520號對面人行道,往北,2016-04-02,07:00:00,2,374.0,376.5,5.0,369.0,0.0,47.632698,0.39,30.025
VSWMR40,北安路520號對面人行道,往北,2016-04-02,08:00:00,2,600.0,614.7457,9.0,591.0,0.0,47.331333,0.64,23.99
VSWMR40,北安路520號對面人行道,往北,2016-04-02,09:00:00,2,707.0,746.3158,4.0,703.0,0.0,45.071682,0.79499996,16.82
VSWMR40,北安路520號對面人行道,往北,2016-04-02,10:00:00,2,928.0,931.5,7.0,921.0,0.0,43.467976,1.0999999,14.965
VSWMR40,北安路520號對面人行道,往北,2016-04-02,11:00:00,2,990.0,1000.0,20.0,970.0,0.0,42.699646,1.25,14.305
VSWMR40,北安路520號對面人行道,往北,2016-04-02,12:00:00,2,1006.0,1022.5,33.0,973.0,0.0,42.09469,1.365,13.795
VSWMR40,北安路520號對面人行道,往北,2016-04-02,13:00:00,2,1044.0,1052.5,17.0,1027.0,0.0,42.174347,1.2850001,13.41
VSWMR40,北安路520號對面人行道,往北,2016-04-02,14:00:00,2,994.0,1020.5084,19.0,975.0,0.0,41.963116,1.3199999,14.280001
VSWMR40,北安路520號對面人行道,往北,2016-04-02,15:00:00,2,991.0,1072.6316,56.0,935.0,0.0,39.0207,1.7249999,11.725
VSWMR40,北安路520號對面人行道,往北,2016-04-02,16:00:00,2,1052.0,1089.5,75.0,977.0,0.0,35.46266,2.25,13.05
VSWMR40,北安路520號對面人行道,往北,2016-04-02,17:00:00,2,1079.0,1104.5,51.0,1028.0,0.0,38.006042,1.9000001,12.845
