EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VU8P760,北安路813-1號前燈桿,北,2016-04-01,00:00:00,4,505.0,513.0,16.0,489.0,0.0,61.90206,1.6025,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,01:00:00,4,284.0,286.0,4.0,280.0,0.0,65.48881,0.8775,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,02:00:00,4,162.0,164.0,4.0,158.0,0.0,66.37407,0.60999995,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,03:00:00,4,112.0,113.0,2.0,110.0,0.0,69.44723,0.405,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,04:00:00,4,95.0,95.0,0.0,95.0,0.0,66.053055,0.3625,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,05:00:00,4,100.0,100.5,1.0,99.0,0.0,63.153202,0.4,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,06:00:00,4,182.0,185.0,6.0,176.0,0.0,63.641537,0.6425,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,07:00:00,4,754.0,773.5,39.0,715.0,0.0,58.639732,2.65,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,08:00:00,4,1680.0,1705.0,64.0,1609.0,7.0,56.8408,5.5325,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,09:00:00,4,1637.0,1652.5,41.0,1591.0,5.0,57.7512,5.1074996,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,10:00:00,4,1581.0,1608.0,82.0,1485.0,14.0,54.87867,5.6725,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,11:00:00,4,1494.0,1530.5,75.0,1418.0,1.0,47.801937,6.1875,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,12:00:00,4,1450.0,1481.5,71.0,1375.0,4.0,48.937542,5.8475003,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,13:00:00,4,1334.0,1365.0,62.0,1272.0,0.0,51.129757,5.04,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,14:00:00,4,1430.0,1457.0,70.0,1352.0,8.0,48.512943,6.0750003,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,15:00:00,4,1575.0,1607.5,87.0,1477.0,11.0,42.85115,7.3975005,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,16:00:00,4,1522.0,1550.5,59.0,1462.0,1.0,50.07618,5.7675,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,17:00:00,4,1550.0,1579.5,59.0,1491.0,0.0,50.27632,6.0475,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,18:00:00,4,1822.0,1842.0,61.0,1737.0,11.0,53.345093,6.3099995,0.0
VU8P760,北安路813-1號前燈桿,北,2016-04-01,19:00:00,4,2074.0,2116.212,76.0,1988.0,10.0,43.432037,9.4025,0.0
