EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,00:00:00,2,541.0,606.61017,111.0,430.0,0.0,51.517635,2.515,125.395
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,01:00:00,2,304.0,325.4237,32.0,272.0,0.0,53.7201,1.1949999,145.89499
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,02:00:00,2,242.0,275.5,67.0,175.0,0.0,56.10806,1.615,136.765
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,03:00:00,2,160.0,171.5,23.0,137.0,0.0,55.989246,0.63,134.7
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,04:00:00,2,135.0,143.0,16.0,119.0,0.0,55.086666,0.47500002,112.865005
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,05:00:00,2,123.0,133.0,20.0,103.0,0.0,55.95772,0.35000002,124.104996
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,06:00:00,2,171.0,197.5,53.0,118.0,0.0,54.15,0.78999996,132.54001
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,07:00:00,2,643.0,696.5,107.0,499.0,0.0,49.41129,2.96,114.31
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,08:00:00,2,1586.0,1740.8943,218.0,1368.0,0.0,39.914917,15.889999,54.894997
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,09:00:00,2,1809.0,1987.5,357.0,1452.0,0.0,36.317394,24.15,53.475002
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,10:00:00,2,1480.0,1728.305,439.0,1041.0,0.0,28.380054,35.225,58.825
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,11:00:00,2,1117.0,1420.5,607.0,510.0,0.0,24.412981,36.940002,63.04
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,12:00:00,2,1176.0,1543.0,734.0,442.0,0.0,26.614532,34.865,61.260002
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,13:00:00,2,1257.0,1563.0,612.0,645.0,0.0,22.985655,42.010002,59.75
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,14:00:00,2,1233.0,1487.0,508.0,725.0,0.0,21.437632,42.885,57.015
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,15:00:00,2,1272.0,1567.0,590.0,682.0,0.0,22.272076,42.465,63.375
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,16:00:00,2,1168.0,1479.0,622.0,546.0,0.0,20.854795,44.13,58.434998
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,17:00:00,2,1556.0,1739.0,366.0,1190.0,0.0,29.970745,33.535,54.99
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,18:00:00,2,1507.0,1709.0,386.0,1102.0,0.0,28.371614,34.565,58.31
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,19:00:00,2,858.0,1167.0593,595.0,263.0,0.0,33.744545,18.19,67.215
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,20:00:00,2,983.0,1306.5,647.0,336.0,0.0,36.4378,17.675,65.4
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,21:00:00,2,1247.0,1482.5,471.0,776.0,0.0,37.32316,16.115,61.75
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,22:00:00,2,1220.0,1391.0,342.0,878.0,0.0,44.98223,7.25,59.905003
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-01,23:00:00,2,1059.0,1185.0,252.0,807.0,0.0,47.147053,6.115,79.99
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-02,00:00:00,2,680.0,766.0,172.0,508.0,0.0,50.03325,3.37,100.735
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-02,01:00:00,2,492.0,536.5,89.0,403.0,0.0,51.79951,2.3899999,122.185
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-02,02:00:00,2,367.0,397.0,60.0,307.0,0.0,56.25215,1.57,114.31
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-02,03:00:00,2,315.0,330.0,30.0,285.0,0.0,56.71086,1.1899999,135.57
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-02,04:00:00,2,249.0,266.5,35.0,214.0,0.0,59.128033,0.915,129.42499
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-02,05:00:00,2,215.0,227.5,25.0,190.0,0.0,59.03623,0.79999995,119.245
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-02,06:00:00,2,186.0,200.0,28.0,158.0,0.0,54.74807,0.615,149.985
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-02,07:00:00,2,370.0,401.5,63.0,307.0,0.0,49.047512,1.74,141.475
VJERC40,基隆路一段172巷口(門架式),往南,2016-04-02,08:00:00,2,765.0,831.5,133.0,632.0,0.0,42.50621,5.225,95.705
