EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VL9SB00,基隆路一段8號前,往南,2016-04-01,00:00:00,2,107.0,143.91888,42.0,48.0,-2.0,44.885452,5.4,-0.03
VL9SB00,基隆路一段8號前,往南,2016-04-01,01:00:00,2,72.0,94.8794,36.0,36.0,0.0,45.858887,5.56,0.0
VL9SB00,基隆路一段8號前,往南,2016-04-01,02:00:00,2,27.0,33.976997,9.0,19.0,-1.0,43.81296,0.65000004,-0.01
VL9SB00,基隆路一段8號前,往南,2016-04-01,03:00:00,2,15.0,20.689655,10.0,5.0,0.0,42.93,2.975,0.0
VL9SB00,基隆路一段8號前,往南,2016-04-01,04:00:00,2,11.0,11.18644,0.0,11.0,0.0,45.45,0.085,0.0
VL9SB00,基隆路一段8號前,往南,2016-04-01,05:00:00,2,10.0,12.413794,4.0,6.0,0.0,51.7,0.135,0.0
VL9SB00,基隆路一段8號前,往南,2016-04-01,06:00:00,2,12.0,16.071428,4.0,9.0,-1.0,45.42,2.83,-0.015
VL9SB00,基隆路一段8號前,往南,2016-04-01,07:00:00,2,25.0,30.89104,6.0,19.0,-1.0,47.125835,3.4150002,-0.01
VL9SB00,基隆路一段8號前,往南,2016-04-01,08:00:00,2,137.0,206.90619,33.0,52.0,-3.0,48.15122,7.1749997,-0.05
VL9SB00,基隆路一段8號前,往南,2016-04-01,09:00:00,2,257.0,371.9196,112.0,146.0,-1.0,43.201324,8.205,-0.015
VL9SB00,基隆路一段8號前,往南,2016-04-01,10:00:00,2,145.0,180.8296,63.0,83.0,-1.0,44.939312,4.005,-0.015
VL9SB00,基隆路一段8號前,往南,2016-04-01,11:00:00,2,116.0,158.1348,57.0,60.0,-1.0,39.00914,2.615,-0.01
VL9SB00,基隆路一段8號前,往南,2016-04-01,12:00:00,2,278.0,399.86548,121.0,145.0,-4.0,42.343204,15.76,-0.074999996
VL9SB00,基隆路一段8號前,往南,2016-04-01,13:00:00,2,202.0,301.72678,97.0,105.0,-5.0,47.696953,9.1,-0.055
VL9SB00,基隆路一段8號前,往南,2016-04-01,14:00:00,2,27.0,39.293785,18.0,9.0,0.0,39.7,6.1150002,0.0
VL9SB00,基隆路一段8號前,往南,2016-04-01,16:00:00,2,12.0,15.517242,6.0,6.0,0.0,29.835001,1.385,0.0
VL9SB00,基隆路一段8號前,往南,2016-04-01,17:00:00,2,28.0,39.81818,15.0,14.0,-1.0,36.23,1.9,-0.01
