EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,00:00:00,2,120.0,285.0,7.0,113.0,0.0,69.876,1.28,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,01:00:00,2,204.0,215.59322,16.0,188.0,0.0,69.34255,1.015,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,02:00:00,2,118.0,128.13559,16.0,102.0,0.0,74.30313,0.595,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,03:00:00,2,70.0,75.76271,9.0,61.0,0.0,72.8,0.34,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,04:00:00,2,57.0,61.016945,6.0,51.0,0.0,76.24421,0.29,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,05:00:00,2,90.0,98.13559,13.0,77.0,0.0,70.522,0.56,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,06:00:00,2,206.0,230.33899,41.0,165.0,0.0,69.549126,1.235,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,07:00:00,2,545.0,594.40674,79.0,466.0,0.0,62.30853,3.3200002,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,08:00:00,2,1293.0,1508.2896,280.0,1001.0,0.0,50.480293,11.145,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,09:00:00,2,1446.0,1671.3472,361.0,1085.0,0.0,48.16498,13.754999,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,10:00:00,2,1266.0,1419.6609,260.0,1006.0,0.0,49.400124,10.565001,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,11:00:00,2,1121.0,1243.9656,163.0,958.0,0.0,57.83555,7.125,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,12:00:00,2,1145.0,1244.2373,157.0,988.0,0.0,57.43045,7.1449995,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,13:00:00,2,974.0,1056.6101,130.0,844.0,0.0,59.21801,5.83,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,14:00:00,2,1078.0,1172.0339,149.0,929.0,0.0,61.317528,6.35,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,15:00:00,2,1123.0,1232.0338,177.0,946.0,0.0,58.862156,7.105,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,16:00:00,2,1148.0,1286.9491,235.0,913.0,0.0,56.112133,8.515,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,17:00:00,2,1277.0,1465.9321,329.0,948.0,0.0,46.493187,12.635,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,18:00:00,2,1291.0,1505.5933,379.0,912.0,0.0,44.108315,14.264999,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,19:00:00,2,1368.0,1618.4746,447.0,921.0,0.0,34.19835,19.525,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,20:00:00,2,1186.0,1349.4915,282.0,904.0,0.0,48.15995,11.09,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,21:00:00,2,904.0,963.05084,86.0,818.0,0.0,60.596283,5.21,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,22:00:00,2,778.0,828.81354,74.0,704.0,0.0,62.09094,4.335,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-01,23:00:00,2,748.0,792.20337,62.0,686.0,0.0,66.237495,3.855,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,00:00:00,2,381.0,415.26318,27.0,354.0,0.0,67.43467,2.05,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,01:00:00,2,221.0,234.91525,20.0,201.0,0.0,67.95729,1.13,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,02:00:00,2,140.0,148.47458,12.0,128.0,0.0,69.01371,0.79999995,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,03:00:00,2,110.0,116.94915,10.0,100.0,0.0,71.013725,0.56,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,04:00:00,2,101.0,106.27118,7.0,94.0,0.0,75.04168,0.485,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,05:00:00,2,88.0,98.13559,17.0,71.0,0.0,75.64682,0.43,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,06:00:00,2,154.0,170.84746,28.0,126.0,0.0,67.10519,0.99,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,07:00:00,2,328.0,355.4237,43.0,285.0,0.0,69.3275,1.76,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,08:00:00,2,533.0,582.4138,60.0,473.0,0.0,66.3724,2.92,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,09:00:00,2,702.0,756.1017,83.0,619.0,0.0,66.18987,3.75,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,10:00:00,2,836.0,902.54236,103.0,733.0,0.0,66.85367,4.48,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,11:00:00,2,1004.0,1082.0339,120.0,884.0,0.0,60.89536,5.885,0.0
VMLXB00,向陽路168號(首都客運停車場右側),往南,2016-04-02,12:00:00,2,1153.0,1286.9491,225.0,928.0,0.0,52.645767,9.285,0.0
