EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,00:00:00,1,76.0,80.84746,7.0,69.0,0.0,49.4,1.06,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,01:00:00,1,43.0,44.74576,2.0,41.0,0.0,55.090004,0.55,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,02:00:00,1,21.0,22.881355,3.0,18.0,0.0,51.049995,0.31,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,03:00:00,1,6.0,6.1016946,0.0,6.0,0.0,52.33,0.1,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,04:00:00,1,9.0,9.152542,0.0,9.0,0.0,48.33,0.14,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,05:00:00,1,7.0,7.6271186,1.0,6.0,0.0,47.71,0.12,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,06:00:00,1,17.0,18.305084,2.0,15.0,0.0,45.0,0.29,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,07:00:00,1,57.0,62.54237,9.0,48.0,0.0,45.82,1.38,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,08:00:00,1,221.0,241.55173,25.0,196.0,0.0,44.37,3.64,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,09:00:00,1,280.0,300.50845,31.0,249.0,0.0,42.2,4.69,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,10:00:00,1,235.0,254.74576,31.0,204.0,0.0,42.48,3.95,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,11:00:00,1,177.0,189.82759,13.0,164.0,0.0,43.21,2.81,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,12:00:00,1,212.0,258.1132,32.0,180.0,0.0,44.810005,3.9,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,13:00:00,1,231.0,251.69492,33.0,198.0,0.0,43.61,3.87,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,14:00:00,1,250.0,270.0,31.0,219.0,0.0,44.19,4.06,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,15:00:00,1,237.0,255.25423,28.0,209.0,0.0,46.53,3.64,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,16:00:00,1,265.0,286.77966,34.0,231.0,0.0,43.48,4.35,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,17:00:00,1,238.0,271.52542,58.0,180.0,0.0,36.95,4.99,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,18:00:00,1,510.0,563.8983,89.0,421.0,0.0,43.84,9.08,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,19:00:00,1,666.0,770.8474,184.0,482.0,0.0,40.2,14.45,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,20:00:00,1,455.0,505.4237,84.0,371.0,0.0,45.32,7.51,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,21:00:00,1,342.0,380.84744,65.0,277.0,0.0,50.04,5.04,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,22:00:00,1,230.0,256.77966,45.0,185.0,0.0,50.89,3.3,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-01,23:00:00,1,157.0,168.81355,18.0,139.0,0.0,51.36,2.15,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,00:00:00,1,83.0,88.98305,9.0,74.0,0.0,47.93,1.24,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,01:00:00,1,45.0,46.271187,1.0,44.0,0.0,47.76,0.7,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,02:00:00,1,35.0,38.135593,5.0,30.0,0.0,53.66,0.54,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,03:00:00,1,27.0,27.457626,0.0,27.0,0.0,49.52,0.42,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,04:00:00,1,18.0,20.338982,4.0,14.0,0.0,54.06,0.32,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,05:00:00,1,13.0,13.728813,1.0,12.0,0.0,48.92,0.19,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,06:00:00,1,34.0,37.627117,6.0,28.0,0.0,42.3,0.62,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,07:00:00,1,27.0,27.9661,1.0,26.0,0.0,47.89,0.47,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,08:00:00,1,63.0,68.793106,7.0,56.0,0.0,46.48,0.99,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,09:00:00,1,116.0,123.55932,11.0,105.0,0.0,45.9,1.71,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往南,2016-04-02,10:00:00,1,132.0,140.33897,12.0,120.0,0.0,48.68,1.88,0.0
