EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VS9TE00,港墘路219號前,往南,2016-04-01,00:00:00,2,440.0,450.0,20.0,420.0,0.0,42.84066,3.31,172.765
VS9TE00,港墘路219號前,往南,2016-04-01,01:00:00,2,264.0,271.0,14.0,250.0,0.0,43.533337,2.025,214.59
VS9TE00,港墘路219號前,往南,2016-04-01,02:00:00,2,171.0,176.5,11.0,160.0,0.0,43.661053,1.285,235.59
VS9TE00,港墘路219號前,往南,2016-04-01,03:00:00,2,156.0,163.0,14.0,142.0,0.0,42.05039,1.195,236.495
VS9TE00,港墘路219號前,往南,2016-04-01,04:00:00,2,111.0,116.0,10.0,101.0,0.0,39.96541,0.945,243.01001
VS9TE00,港墘路219號前,往南,2016-04-01,05:00:00,2,106.0,107.5,3.0,103.0,0.0,38.877174,0.85,243.44
VS9TE00,港墘路219號前,往南,2016-04-01,06:00:00,2,205.0,210.5,11.0,194.0,0.0,42.144096,1.51,227.83499
VS9TE00,港墘路219號前,往南,2016-04-01,07:00:00,2,601.0,619.0,36.0,565.0,0.0,44.98085,4.6,146.59
VS9TE00,港墘路219號前,往南,2016-04-01,08:00:00,2,1459.0,1565.0,212.0,1247.0,0.0,29.54377,27.935001,60.815
VS9TE00,港墘路219號前,往南,2016-04-01,09:00:00,2,997.0,1061.5,129.0,868.0,0.0,20.047842,47.120003,101.59
VS9TE00,港墘路219號前,往南,2016-04-01,10:00:00,2,1203.0,1288.5,171.0,1032.0,0.0,19.662104,43.9,89.24
VS9TE00,港墘路219號前,往南,2016-04-01,11:00:00,2,1514.0,1606.0,184.0,1330.0,0.0,35.281315,18.25,43.120003
VS9TE00,港墘路219號前,往南,2016-04-01,12:00:00,2,1452.0,1594.138,178.0,1274.0,0.0,35.225067,19.355,43.754997
VS9TE00,港墘路219號前,往南,2016-04-01,13:00:00,2,1365.0,1437.5,145.0,1220.0,0.0,38.181145,13.764999,55.489998
VS9TE00,港墘路219號前,往南,2016-04-01,14:00:00,2,1433.0,1529.5,193.0,1240.0,0.0,33.63537,20.585,47.425003
VS9TE00,港墘路219號前,往南,2016-04-01,15:00:00,2,1531.0,1634.0,206.0,1325.0,0.0,26.014528,35.34,37.67
VS9TE00,港墘路219號前,往南,2016-04-01,16:00:00,2,334.0,1693.8462,66.0,268.0,0.0,38.519638,16.6,42.47
VS9TE00,港墘路219號前,往南,2016-04-01,17:00:00,2,1412.0,1600.7142,164.0,1248.0,0.0,31.889385,20.985,44.019997
VS9TE00,港墘路219號前,往南,2016-04-01,18:00:00,2,1646.0,1748.5,205.0,1441.0,0.0,29.938538,28.935,40.989998
VS9TE00,港墘路219號前,往南,2016-04-01,19:00:00,2,1639.0,1743.5,209.0,1430.0,0.0,22.912313,38.265,50.185
VS9TE00,港墘路219號前,往南,2016-04-01,20:00:00,2,1524.0,1605.0,162.0,1362.0,0.0,29.175694,23.55,39.809998
