EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSWMR40,北安路520號對面人行道,往南,2016-04-01,00:00:00,2,160.0,171.42856,0.0,160.0,0.0,46.988,0.19,28.53
VSWMR40,北安路520號對面人行道,往南,2016-04-01,01:00:00,2,81.0,81.0,0.0,81.0,0.0,48.72667,0.195,45.940002
VSWMR40,北安路520號對面人行道,往南,2016-04-01,02:00:00,2,55.0,55.0,0.0,55.0,0.0,49.603455,0.14,40.92
VSWMR40,北安路520號對面人行道,往南,2016-04-01,03:00:00,2,29.0,31.607143,1.0,28.0,0.0,44.728275,0.115,40.625
VSWMR40,北安路520號對面人行道,往南,2016-04-01,04:00:00,2,34.0,34.0,0.0,34.0,0.0,50.000587,0.135,46.045
VSWMR40,北安路520號對面人行道,往南,2016-04-01,05:00:00,2,24.0,24.0,0.0,24.0,0.0,47.1675,0.13,44.375
VSWMR40,北安路520號對面人行道,往南,2016-04-01,06:00:00,2,38.0,38.5,1.0,37.0,0.0,46.10421,0.135,45.085
VSWMR40,北安路520號對面人行道,往南,2016-04-01,07:00:00,2,162.0,163.5,3.0,159.0,0.0,47.653458,0.225,36.86
VSWMR40,北安路520號對面人行道,往南,2016-04-01,08:00:00,2,704.0,720.5084,9.0,695.0,0.0,43.483322,1.01,19.68
VSWMR40,北安路520號對面人行道,往南,2016-04-01,09:00:00,2,771.0,814.7368,6.0,765.0,0.0,45.092022,0.885,15.8
VSWMR40,北安路520號對面人行道,往南,2016-04-01,10:00:00,2,384.0,389.5,11.0,373.0,0.0,47.830235,0.435,34.77
VSWMR40,北安路520號對面人行道,往南,2016-04-01,11:00:00,2,397.0,407.0,20.0,377.0,0.0,44.253475,0.7,34.335
VSWMR40,北安路520號對面人行道,往南,2016-04-01,12:00:00,2,514.0,530.0,32.0,482.0,0.0,42.865524,0.91,26.224998
