EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,00:00:00,2,97.0,99.66102,2.0,95.0,0.0,61.54289,0.515,243.54001
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,01:00:00,2,56.0,60.5,9.0,47.0,0.0,65.32143,0.4,249.55
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,02:00:00,2,53.0,55.0,4.0,49.0,0.0,63.1683,0.375,249.125
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,03:00:00,2,28.0,28.5,1.0,27.0,0.0,59.93,0.2,250.0
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,04:00:00,2,36.0,38.0,4.0,32.0,0.0,65.05444,0.215,248.69
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,05:00:00,2,32.0,33.5,3.0,29.0,0.0,61.74875,0.23,250.0
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,06:00:00,2,26.0,28.0,4.0,22.0,0.0,64.46192,0.2,250.0
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,07:00:00,2,141.0,146.5,11.0,130.0,0.0,57.269005,0.69,238.95999
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,08:00:00,2,385.0,408.5,47.0,338.0,0.0,59.53065,1.825,185.975
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,09:00:00,2,516.0,543.0,54.0,462.0,0.0,59.830116,2.775,163.725
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,10:00:00,2,659.0,704.5,91.0,568.0,0.0,49.86235,4.95,143.64
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,11:00:00,2,509.0,543.0,68.0,441.0,0.0,57.891846,2.73,166.71
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,12:00:00,2,534.0,581.0,94.0,440.0,0.0,57.09045,3.185,167.785
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,13:00:00,2,443.0,489.82758,61.0,382.0,0.0,52.599236,2.8850002,173.69
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,14:00:00,2,555.0,589.5,69.0,486.0,0.0,57.156815,3.165,169.99
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,15:00:00,2,644.0,691.5,95.0,549.0,0.0,52.873825,3.855,153.93
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,16:00:00,2,553.0,595.0,84.0,469.0,0.0,52.938828,3.315,166.08499
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,17:00:00,2,556.0,589.5,67.0,489.0,0.0,55.89788,3.125,158.85
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,18:00:00,2,520.0,550.5,61.0,459.0,0.0,57.902924,2.8,169.65
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,19:00:00,2,303.0,317.0,28.0,275.0,0.0,58.103664,1.44,205.225
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,20:00:00,2,308.0,317.0,18.0,290.0,0.0,60.058834,1.385,204.35
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,21:00:00,2,384.0,401.0,34.0,350.0,0.0,57.424454,1.8900001,190.225
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,22:00:00,2,425.0,438.5,27.0,398.0,0.0,60.040516,1.8499999,184.0
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-01,23:00:00,2,291.0,301.5,21.0,270.0,0.0,61.637047,1.235,208.01001
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,00:00:00,2,144.0,145.5,3.0,141.0,0.0,61.710346,0.66999996,235.98999
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,01:00:00,2,116.0,119.0,6.0,110.0,0.0,63.524826,0.625,242.96
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,02:00:00,2,80.0,83.0,6.0,74.0,0.0,64.488625,0.445,246.04001
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,03:00:00,2,57.0,58.0,2.0,55.0,0.0,63.94737,0.36,248.66501
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,04:00:00,2,33.0,34.0,2.0,31.0,0.0,66.39424,0.235,250.0
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,05:00:00,2,51.0,52.0,2.0,49.0,0.0,66.23569,0.31,248.66
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,06:00:00,2,92.0,97.0,10.0,82.0,0.0,64.305435,0.495,243.61499
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,07:00:00,2,104.0,109.0,10.0,94.0,0.0,59.93096,0.58000004,242.675
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,08:00:00,2,153.0,155.0,4.0,149.0,0.0,60.201767,0.7,236.475
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,09:00:00,2,246.0,251.5,11.0,235.0,0.0,63.079426,1.09,213.685
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,10:00:00,2,297.0,307.0,20.0,277.0,0.0,62.696667,1.14,200.89
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,11:00:00,2,305.0,313.5,17.0,288.0,0.0,61.16328,1.2950001,202.11
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,12:00:00,2,394.0,409.0,30.0,364.0,0.0,60.3135,1.655,184.125
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,13:00:00,2,351.0,386.37933,45.0,306.0,0.0,57.63376,1.91,193.025
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,14:00:00,2,415.0,440.5,51.0,364.0,0.0,60.15128,2.17,183.785
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,15:00:00,2,432.0,461.5,59.0,373.0,0.0,58.66787,2.315,177.41
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,16:00:00,2,476.0,505.0,58.0,418.0,0.0,58.16971,2.5,171.32
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,17:00:00,2,393.0,413.5,41.0,352.0,0.0,59.96145,1.97,180.32501
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,18:00:00,2,451.0,474.0,46.0,405.0,0.0,62.603153,1.945,182.35501
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,19:00:00,2,358.0,372.0,28.0,330.0,0.0,62.60151,1.49,192.5
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-04-02,20:00:00,2,309.0,321.0,24.0,285.0,0.0,60.745987,1.335,201.45
