EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,00:00:00,2,161.0,167.28813,7.0,154.0,0.0,50.333416,1.13,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,01:00:00,2,79.0,81.86441,3.0,76.0,0.0,45.820255,0.615,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,02:00:00,2,41.0,42.711864,2.0,39.0,0.0,49.55951,0.335,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,03:00:00,2,32.0,35.084747,5.0,27.0,0.0,49.80844,0.245,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,04:00:00,2,22.0,23.389832,2.0,20.0,0.0,52.955456,0.175,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,05:00:00,2,27.0,27.457626,0.0,27.0,0.0,41.815556,0.225,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,06:00:00,2,52.0,54.915253,4.0,48.0,0.0,48.248657,0.42000002,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,07:00:00,2,159.0,176.44067,29.0,130.0,0.0,46.01019,1.3299999,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,08:00:00,2,426.0,459.8276,37.0,389.0,0.0,47.875355,3.1850002,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,09:00:00,2,713.0,760.6779,70.0,643.0,0.0,45.604668,5.5550003,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,10:00:00,2,637.0,678.30505,60.0,577.0,0.0,45.74045,5.06,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,11:00:00,2,504.0,553.4483,62.0,442.0,0.0,42.701427,4.315,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,12:00:00,2,528.0,577.11865,79.0,449.0,0.0,41.097137,5.03,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,13:00:00,2,629.0,695.5932,110.0,519.0,0.0,41.80386,6.1150002,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,14:00:00,2,505.0,555.2542,82.0,423.0,0.0,40.69198,5.4,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,15:00:00,2,575.0,624.9152,79.0,496.0,0.0,43.379913,5.22,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,16:00:00,2,504.0,544.06775,62.0,442.0,0.0,43.152897,7.54,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,17:00:00,2,595.0,634.06775,57.0,538.0,0.0,44.0162,4.92,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,18:00:00,2,637.0,706.3158,68.0,569.0,0.0,44.628937,5.33,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,19:00:00,2,744.0,795.7627,77.0,667.0,0.0,40.839226,6.3999996,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,20:00:00,2,576.0,613.7288,55.0,521.0,0.0,41.840313,4.86,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,21:00:00,2,420.0,451.5254,48.0,372.0,0.0,42.70743,3.5549998,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,22:00:00,2,366.0,385.9322,27.0,339.0,0.0,45.29317,2.815,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-01,23:00:00,2,333.0,357.9661,38.0,295.0,0.0,43.815945,2.71,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,00:00:00,2,189.0,195.76271,7.0,182.0,0.0,48.560688,1.335,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,01:00:00,2,115.0,122.03389,10.0,105.0,0.0,51.582344,0.78499997,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,02:00:00,2,71.0,72.71187,1.0,70.0,0.0,47.15606,0.525,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,03:00:00,2,57.0,61.52542,7.0,50.0,0.0,51.685963,0.455,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,04:00:00,2,38.0,40.16949,3.0,35.0,0.0,52.28737,0.28,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,05:00:00,2,46.0,47.796608,2.0,44.0,0.0,45.694782,0.365,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,06:00:00,2,39.0,41.18644,3.0,36.0,0.0,49.769745,0.27,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,07:00:00,2,107.0,115.42372,13.0,94.0,0.0,49.35505,0.84000003,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,08:00:00,2,166.0,178.96552,14.0,152.0,0.0,50.620605,1.14,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,09:00:00,2,253.0,271.01694,27.0,226.0,0.0,48.629883,1.845,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,10:00:00,2,363.0,380.339,22.0,341.0,0.0,49.095043,2.5500002,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,11:00:00,2,488.0,521.6949,50.0,438.0,0.0,46.310818,3.665,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,12:00:00,2,542.0,588.81354,74.0,468.0,0.0,42.32915,5.045,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,13:00:00,2,510.0,554.7457,71.0,439.0,0.0,42.447548,4.775,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,14:00:00,2,495.0,531.8644,56.0,439.0,0.0,43.86875,4.245,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,15:00:00,2,499.0,527.28815,39.0,460.0,0.0,42.853127,4.0150003,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,16:00:00,2,402.0,428.13556,38.0,364.0,0.0,44.241642,3.275,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,17:00:00,2,399.0,423.05084,34.0,365.0,0.0,45.3698,3.105,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-04-02,18:00:00,2,444.0,486.3158,36.0,408.0,0.0,45.120068,3.5049999,0.0
