EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V6160C1,舊宗經貿,正向放置,2016-04-01,00:00:00,2,494.0,571.5,155.0,339.0,0.0,47.67405,3.195,130.575
V6160C1,舊宗經貿,正向放置,2016-04-01,01:00:00,2,359.0,417.5,117.0,242.0,0.0,49.32652,2.145,153.59
V6160C1,舊宗經貿,正向放置,2016-04-01,02:00:00,2,234.0,269.5,71.0,163.0,0.0,49.576157,1.275,162.9
V6160C1,舊宗經貿,正向放置,2016-04-01,03:00:00,2,139.0,161.5,45.0,94.0,0.0,46.80856,0.745,148.73
V6160C1,舊宗經貿,正向放置,2016-04-01,04:00:00,2,110.0,121.5,23.0,87.0,0.0,49.17245,0.515,110.395004
V6160C1,舊宗經貿,正向放置,2016-04-01,05:00:00,2,128.0,141.0,26.0,102.0,0.0,49.195,0.605,120.575
V6160C1,舊宗經貿,正向放置,2016-04-01,06:00:00,2,207.0,224.5,35.0,172.0,0.0,48.855366,0.975,153.965
V6160C1,舊宗經貿,正向放置,2016-04-01,07:00:00,2,509.0,517.0,16.0,493.0,0.0,53.652534,1.56,130.975
V6160C1,舊宗經貿,正向放置,2016-04-01,08:00:00,2,1654.0,1668.5,29.0,1625.0,0.0,53.68085,5.245,51.33
V6160C1,舊宗經貿,正向放置,2016-04-01,09:00:00,2,2336.0,2355.0,37.0,2285.0,0.0,52.058887,8.19,32.14
V6160C1,舊宗經貿,正向放置,2016-04-01,10:00:00,2,2127.0,2176.2542,59.0,2047.0,0.0,50.625698,8.315,35.945
V6160C1,舊宗經貿,正向放置,2016-04-01,11:00:00,2,1896.0,2032.5409,105.0,1791.0,0.0,47.113316,7.79,39.975
V6160C1,舊宗經貿,正向放置,2016-04-01,12:00:00,2,1632.0,1669.0,70.0,1532.0,0.0,49.561787,6.4849997,47.735
V6160C1,舊宗經貿,正向放置,2016-04-01,13:00:00,2,1537.0,1598.2932,67.0,1471.0,-1.0,49.507015,5.835,48.285
V6160C1,舊宗經貿,正向放置,2016-04-01,14:00:00,2,1705.0,1719.5,29.0,1676.0,0.0,50.651676,6.15,46.03
V6160C1,舊宗經貿,正向放置,2016-04-01,15:00:00,2,1818.0,1838.5,41.0,1777.0,0.0,50.82139,6.65,41.43
V6160C1,舊宗經貿,正向放置,2016-04-01,16:00:00,2,1862.0,1881.5,39.0,1801.0,0.0,50.961304,6.585,41.059998
V6160C1,舊宗經貿,正向放置,2016-04-01,17:00:00,2,1949.0,1983.4153,37.0,1891.0,0.0,50.715935,7.46,39.085
V6160C1,舊宗經貿,正向放置,2016-04-01,18:00:00,2,2359.0,2405.9575,38.0,2251.0,0.0,50.025963,8.615,32.275
V6160C1,舊宗經貿,正向放置,2016-04-01,19:00:00,2,1476.0,1847.625,295.0,891.0,-3.0,48.536743,10.835,38.1
V6160C1,舊宗經貿,正向放置,2016-04-01,20:00:00,2,1189.0,1982.7743,396.0,694.0,-3.0,47.151012,14.945001,50.675003
V6160C1,舊宗經貿,正向放置,2016-04-01,21:00:00,2,1369.0,1774.6154,505.0,743.0,0.0,47.530674,11.845,57.715
V6160C1,舊宗經貿,正向放置,2016-04-01,22:00:00,2,1178.0,1655.1666,420.0,719.0,-2.0,46.90427,10.3550005,60.905
V6160C1,舊宗經貿,正向放置,2016-04-01,23:00:00,2,1201.0,1515.4285,500.0,701.0,0.0,47.15986,11.2,63.949997
V6160C1,舊宗經貿,正向放置,2016-04-02,00:00:00,2,795.0,961.5254,301.0,494.0,0.0,47.361332,5.85,92.915
V6160C1,舊宗經貿,正向放置,2016-04-02,01:00:00,2,468.0,551.1864,148.0,320.0,0.0,49.17075,3.49,132.35
V6160C1,舊宗經貿,正向放置,2016-04-02,02:00:00,2,323.0,372.0,98.0,225.0,0.0,49.745358,1.925,153.405
V6160C1,舊宗經貿,正向放置,2016-04-02,03:00:00,2,257.0,290.5,67.0,190.0,0.0,49.908054,1.44,147.545
V6160C1,舊宗經貿,正向放置,2016-04-02,04:00:00,2,186.0,208.0,44.0,142.0,0.0,49.494514,0.875,132.075
V6160C1,舊宗經貿,正向放置,2016-04-02,05:00:00,2,299.0,349.0,100.0,199.0,0.0,49.09652,1.885,156.97
V6160C1,舊宗經貿,正向放置,2016-04-02,06:00:00,2,566.0,613.5,95.0,471.0,0.0,50.019558,2.885,123.22
V6160C1,舊宗經貿,正向放置,2016-04-02,07:00:00,2,930.0,945.0,30.0,900.0,0.0,52.664055,3.1,81.625
V6160C1,舊宗經貿,正向放置,2016-04-02,08:00:00,2,904.0,927.0,46.0,858.0,0.0,50.827976,3.17,84.165
V6160C1,舊宗經貿,正向放置,2016-04-02,09:00:00,2,991.0,1016.0,50.0,941.0,0.0,50.71234,4.395,78.925
V6160C1,舊宗經貿,正向放置,2016-04-02,10:00:00,2,1049.0,1068.0,38.0,1011.0,0.0,49.992813,4.065,73.4
V6160C1,舊宗經貿,正向放置,2016-04-02,11:00:00,2,1131.0,1167.4575,34.0,1097.0,0.0,49.44474,4.285,67.625
V6160C1,舊宗經貿,正向放置,2016-04-02,12:00:00,2,1441.0,1460.0,38.0,1403.0,0.0,47.68341,4.99,52.7
V6160C1,舊宗經貿,正向放置,2016-04-02,13:00:00,2,1452.0,1475.5,47.0,1405.0,0.0,49.073788,5.39,53.795
V6160C1,舊宗經貿,正向放置,2016-04-02,14:00:00,2,1405.0,1421.0,32.0,1373.0,0.0,49.949974,5.05,55.085
V6160C1,舊宗經貿,正向放置,2016-04-02,15:00:00,2,1424.0,1438.0,28.0,1396.0,0.0,48.72941,5.105,55.755
V6160C1,舊宗經貿,正向放置,2016-04-02,16:00:00,2,1401.0,1414.5,27.0,1374.0,0.0,49.49186,4.7,56.14
V6160C1,舊宗經貿,正向放置,2016-04-02,17:00:00,2,1326.0,1344.5,37.0,1289.0,0.0,49.64852,4.635,58.29
V6160C1,舊宗經貿,正向放置,2016-04-02,18:00:00,2,1578.0,1600.5,45.0,1525.0,0.0,49.46968,5.545,48.085
V6160C1,舊宗經貿,正向放置,2016-04-02,19:00:00,2,820.0,964.9237,269.0,542.0,0.0,48.81874,6.49,52.83
V6160C1,舊宗經貿,正向放置,2016-04-02,20:00:00,2,1092.0,1301.9153,391.0,692.0,0.0,48.487423,8.245,71.270004
V6160C1,舊宗經貿,正向放置,2016-04-02,21:00:00,2,1148.0,1374.178,414.0,701.0,0.0,49.233364,8.71,69.405
V6160C1,舊宗經貿,正向放置,2016-04-02,22:00:00,2,1059.0,1326.4546,397.0,656.0,0.0,48.422108,8.764999,72.505005
V6160C1,舊宗經貿,正向放置,2016-04-02,23:00:00,2,873.0,1046.8306,327.0,546.0,0.0,48.38836,6.4849997,87.630005
V6160C1,舊宗經貿,正向放置,2016-04-03,00:00:00,2,562.0,648.0,172.0,390.0,0.0,50.15993,3.5099998,109.625
V6160C1,舊宗經貿,正向放置,2016-04-03,01:00:00,2,411.0,470.5,119.0,292.0,0.0,49.597885,2.545,144.81
V6160C1,舊宗經貿,正向放置,2016-04-03,02:00:00,2,256.0,288.0,64.0,192.0,0.0,48.333748,1.46,151.14499
V6160C1,舊宗經貿,正向放置,2016-04-03,03:00:00,2,173.0,195.0,44.0,129.0,0.0,48.900234,1.025,130.975
V6160C1,舊宗經貿,正向放置,2016-04-03,04:00:00,2,146.0,166.5,41.0,105.0,0.0,49.857674,0.725,139.05
V6160C1,舊宗經貿,正向放置,2016-04-03,05:00:00,2,195.0,226.5,63.0,132.0,0.0,48.51231,1.225,147.79001
V6160C1,舊宗經貿,正向放置,2016-04-03,06:00:00,2,439.0,480.0,82.0,357.0,0.0,50.599045,2.23,140.65
V6160C1,舊宗經貿,正向放置,2016-04-03,07:00:00,2,797.0,812.0,30.0,767.0,0.0,51.905926,2.62,94.75
V6160C1,舊宗經貿,正向放置,2016-04-03,08:00:00,2,848.0,860.0,24.0,824.0,0.0,49.519836,3.2150002,93.03
V6160C1,舊宗經貿,正向放置,2016-04-03,09:00:00,2,932.0,948.5,33.0,899.0,0.0,51.45828,3.85,81.979996
V6160C1,舊宗經貿,正向放置,2016-04-03,10:00:00,2,1067.0,1084.5,35.0,1016.0,0.0,49.977306,3.9250002,75.41
V6160C1,舊宗經貿,正向放置,2016-04-03,11:00:00,2,1085.0,1151.2069,38.0,1047.0,0.0,48.57658,4.12,71.649994
V6160C1,舊宗經貿,正向放置,2016-04-03,12:00:00,2,1254.0,1267.0,26.0,1228.0,0.0,48.71684,4.2799997,61.475
V6160C1,舊宗經貿,正向放置,2016-04-03,13:00:00,2,1212.0,1226.0,28.0,1184.0,0.0,49.637196,4.16,63.275
V6160C1,舊宗經貿,正向放置,2016-04-03,14:00:00,2,1201.0,1209.0,16.0,1185.0,0.0,50.539577,3.8400002,64.494995
V6160C1,舊宗經貿,正向放置,2016-04-03,15:00:00,2,1382.0,1397.5,31.0,1351.0,0.0,49.09653,4.79,56.025
V6160C1,舊宗經貿,正向放置,2016-04-03,16:00:00,2,1351.0,1367.5,33.0,1318.0,0.0,50.402317,4.46,56.05
V6160C1,舊宗經貿,正向放置,2016-04-03,17:00:00,2,1226.0,1244.5,37.0,1189.0,0.0,50.45452,4.12,65.8
V6160C1,舊宗經貿,正向放置,2016-04-03,18:00:00,2,1197.0,1222.0,50.0,1146.0,0.0,51.2439,4.1,63.825
V6160C1,舊宗經貿,正向放置,2016-04-03,19:00:00,2,745.0,873.85596,241.0,504.0,0.0,48.459747,5.24,62.735
V6160C1,舊宗經貿,正向放置,2016-04-03,20:00:00,2,899.0,1071.0,344.0,555.0,0.0,47.60444,6.81,86.6
V6160C1,舊宗經貿,正向放置,2016-04-03,21:00:00,2,980.0,1171.5,383.0,593.0,0.0,46.75124,7.735,77.130005
V6160C1,舊宗經貿,正向放置,2016-04-03,22:00:00,2,1001.0,1217.3728,408.0,583.0,0.0,47.304924,8.205,76.605
V6160C1,舊宗經貿,正向放置,2016-04-03,23:00:00,2,784.0,935.70337,286.0,498.0,0.0,46.492447,6.48,98.0
V6160C1,舊宗經貿,正向放置,2016-04-04,00:00:00,2,545.0,636.5,183.0,362.0,0.0,48.505047,4.18,131.145
V6160C1,舊宗經貿,正向放置,2016-04-04,01:00:00,2,324.0,370.0,92.0,232.0,0.0,47.856915,2.075,148.73999
V6160C1,舊宗經貿,正向放置,2016-04-04,02:00:00,2,204.0,229.0,50.0,154.0,0.0,47.266468,1.105,148.435
V6160C1,舊宗經貿,正向放置,2016-04-04,03:00:00,2,145.0,160.5,31.0,114.0,0.0,46.536,0.805,134.325
V6160C1,舊宗經貿,正向放置,2016-04-04,04:00:00,2,145.0,163.0,36.0,109.0,0.0,48.68173,0.86,133.81
V6160C1,舊宗經貿,正向放置,2016-04-04,05:00:00,2,204.0,235.5,63.0,141.0,0.0,46.849266,1.3399999,139.75
V6160C1,舊宗經貿,正向放置,2016-04-04,06:00:00,2,453.0,503.0,100.0,353.0,0.0,48.579937,2.39,135.665
V6160C1,舊宗經貿,正向放置,2016-04-04,07:00:00,2,666.0,678.0,24.0,642.0,0.0,50.82901,2.115,109.025
V6160C1,舊宗經貿,正向放置,2016-04-04,08:00:00,2,647.0,662.0,30.0,617.0,0.0,51.676495,2.17,114.25
V6160C1,舊宗經貿,正向放置,2016-04-04,09:00:00,2,820.0,839.0,38.0,782.0,0.0,50.06689,2.995,95.085
V6160C1,舊宗經貿,正向放置,2016-04-04,10:00:00,2,927.0,944.0,34.0,893.0,0.0,49.59836,3.605,84.16
V6160C1,舊宗經貿,正向放置,2016-04-04,11:00:00,2,1020.0,1056.1017,37.0,983.0,0.0,49.55794,3.68,74.854996
V6160C1,舊宗經貿,正向放置,2016-04-04,12:00:00,2,964.0,995.5932,30.0,934.0,0.0,49.99025,3.335,79.729996
V6160C1,舊宗經貿,正向放置,2016-04-04,13:00:00,2,884.0,900.0,32.0,852.0,0.0,50.25509,3.3449998,88.009995
V6160C1,舊宗經貿,正向放置,2016-04-04,14:00:00,2,1153.0,1172.5,39.0,1114.0,0.0,51.125225,4.2200003,69.89
V6160C1,舊宗經貿,正向放置,2016-04-04,15:00:00,2,1217.0,1232.5,31.0,1186.0,0.0,50.636177,4.095,62.629997
V6160C1,舊宗經貿,正向放置,2016-04-04,16:00:00,2,1222.0,1245.0,46.0,1176.0,0.0,51.137825,4.635,64.935
V6160C1,舊宗經貿,正向放置,2016-04-04,17:00:00,2,1137.0,1158.5,43.0,1094.0,0.0,50.98923,3.82,68.22
V6160C1,舊宗經貿,正向放置,2016-04-04,18:00:00,2,1135.0,1164.0,54.0,1077.0,0.0,51.563053,3.635,69.675
V6160C1,舊宗經貿,正向放置,2016-04-04,19:00:00,2,644.0,798.8474,294.0,350.0,0.0,45.46404,5.115,80.4
V6160C1,舊宗經貿,正向放置,2016-04-04,20:00:00,2,912.0,1108.0,391.0,517.0,0.0,44.85533,7.3999996,87.135
V6160C1,舊宗經貿,正向放置,2016-04-04,21:00:00,2,953.0,1138.0933,345.0,599.0,0.0,44.789524,7.83,81.955
V6160C1,舊宗經貿,正向放置,2016-04-04,22:00:00,2,922.0,1130.8983,395.0,527.0,0.0,45.163036,8.095,84.22
V6160C1,舊宗經貿,正向放置,2016-04-04,23:00:00,2,747.0,892.0,290.0,457.0,0.0,46.83846,5.835,102.465
V6160C1,舊宗經貿,正向放置,2016-04-05,00:00:00,2,504.0,597.0,186.0,318.0,0.0,47.16018,3.625,128.29
V6160C1,舊宗經貿,正向放置,2016-04-05,01:00:00,2,341.0,389.0,96.0,245.0,0.0,47.0005,2.035,148.95999
V6160C1,舊宗經貿,正向放置,2016-04-05,02:00:00,2,230.0,259.5,59.0,171.0,0.0,48.44161,1.1500001,160.95999
V6160C1,舊宗經貿,正向放置,2016-04-05,03:00:00,2,181.0,207.0,52.0,129.0,0.0,50.24105,0.93,154.56
V6160C1,舊宗經貿,正向放置,2016-04-05,04:00:00,2,116.0,132.0,32.0,84.0,0.0,50.06931,0.515,120.33
V6160C1,舊宗經貿,正向放置,2016-04-05,05:00:00,2,112.0,127.5,31.0,81.0,0.0,47.828754,0.73,127.915
V6160C1,舊宗經貿,正向放置,2016-04-05,06:00:00,2,198.0,213.5,31.0,167.0,0.0,48.710503,0.875,142.715
V6160C1,舊宗經貿,正向放置,2016-04-05,07:00:00,2,380.0,390.0,20.0,360.0,0.0,52.645733,1.1,154.82
V6160C1,舊宗經貿,正向放置,2016-04-05,08:00:00,2,538.0,555.0,34.0,504.0,0.0,50.952377,1.8000001,117.665
V6160C1,舊宗經貿,正向放置,2016-04-05,09:00:00,2,721.0,740.5,39.0,682.0,0.0,52.04757,3.0349998,105.115
V6160C1,舊宗經貿,正向放置,2016-04-05,10:00:00,2,929.0,958.0,47.0,846.0,0.0,51.120403,3.495,88.1
V6160C1,舊宗經貿,正向放置,2016-04-05,11:00:00,2,1546.0,1749.3667,288.0,1259.0,-1.0,42.9374,9.74,56.25
V6160C1,舊宗經貿,正向放置,2016-04-05,12:00:00,2,1205.0,1239.0,68.0,1137.0,0.0,49.234318,5.1,64.65
V6160C1,舊宗經貿,正向放置,2016-04-05,13:00:00,2,1052.0,1076.5,49.0,1003.0,0.0,51.27366,3.9650002,72.25
V6160C1,舊宗經貿,正向放置,2016-04-05,14:00:00,2,1282.0,1302.0,40.0,1242.0,0.0,50.235,4.505,60.335
V6160C1,舊宗經貿,正向放置,2016-04-05,15:00:00,2,1218.0,1264.5,93.0,1125.0,0.0,47.986256,5.8650002,66.425
V6160C1,舊宗經貿,正向放置,2016-04-05,16:00:00,2,1253.0,1268.5,31.0,1205.0,0.0,50.404903,3.82,71.3
V6160C1,舊宗經貿,正向放置,2016-04-05,17:00:00,2,1313.0,1345.5168,43.0,1270.0,0.0,51.088715,4.45,57.86
V6160C1,舊宗經貿,正向放置,2016-04-05,18:00:00,2,1411.0,1448.0,73.0,1333.0,0.0,50.826057,5.0249996,54.565
V6160C1,舊宗經貿,正向放置,2016-04-05,19:00:00,2,761.0,883.7457,226.0,527.0,0.0,49.19419,5.115,61.260002
V6160C1,舊宗經貿,正向放置,2016-04-05,20:00:00,2,1005.0,1212.2119,387.0,606.0,0.0,45.796425,8.245,79.380005
V6160C1,舊宗經貿,正向放置,2016-04-05,21:00:00,2,1030.0,1253.9482,397.0,621.0,0.0,46.72782,8.085,75.835
