EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V6340G1,舊宗堤頂,正向放置,2016-04-01,00:00:00,2,309.0,309.0,0.0,309.0,0.0,78.60564,1.115,125.3
V6340G1,舊宗堤頂,正向放置,2016-04-01,01:00:00,2,182.0,182.0,0.0,182.0,0.0,77.997696,0.815,125.455
V6340G1,舊宗堤頂,正向放置,2016-04-01,02:00:00,2,159.0,159.0,0.0,159.0,0.0,77.49867,0.765,139.95999
V6340G1,舊宗堤頂,正向放置,2016-04-01,03:00:00,2,98.0,98.0,0.0,98.0,0.0,77.67041,0.53499997,158.79001
V6340G1,舊宗堤頂,正向放置,2016-04-01,04:00:00,2,110.0,110.0,0.0,110.0,0.0,78.20036,0.6,156.5
V6340G1,舊宗堤頂,正向放置,2016-04-01,05:00:00,2,124.0,124.0,0.0,124.0,0.0,77.2354,0.565,171.45999
V6340G1,舊宗堤頂,正向放置,2016-04-01,06:00:00,2,231.0,231.0,0.0,231.0,0.0,77.26896,0.95000005,128.58
V6340G1,舊宗堤頂,正向放置,2016-04-01,07:00:00,2,862.0,862.0,0.0,862.0,0.0,77.28935,2.5949998,90.44
V6340G1,舊宗堤頂,正向放置,2016-04-01,08:00:00,2,2438.0,2440.0,4.0,2434.0,0.0,75.29566,7.8900003,31.845
V6340G1,舊宗堤頂,正向放置,2016-04-01,09:00:00,2,1900.0,1901.5,3.0,1897.0,0.0,76.03059,6.415,39.745
V6340G1,舊宗堤頂,正向放置,2016-04-01,10:00:00,2,1716.0,1716.0,0.0,1716.0,0.0,76.05355,5.365,47.04
V6340G1,舊宗堤頂,正向放置,2016-04-01,11:00:00,2,1458.0,1458.0,0.0,1458.0,0.0,76.27971,4.55,55.0
V6340G1,舊宗堤頂,正向放置,2016-04-01,12:00:00,2,1423.0,1423.5,1.0,1422.0,0.0,76.18503,4.45,58.690002
V6340G1,舊宗堤頂,正向放置,2016-04-01,13:00:00,2,1336.0,1336.5,1.0,1335.0,0.0,76.169395,4.125,60.97
V6340G1,舊宗堤頂,正向放置,2016-04-01,14:00:00,2,1480.0,1480.5,1.0,1479.0,0.0,76.017685,4.6499996,55.39
V6340G1,舊宗堤頂,正向放置,2016-04-01,15:00:00,2,1440.0,1441.5,3.0,1437.0,0.0,75.33055,5.15,52.835
V6340G1,舊宗堤頂,正向放置,2016-04-01,16:00:00,2,1393.0,1394.5,3.0,1390.0,0.0,76.098495,4.425,60.825
