EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,00:00:00,2,468.0,472.0,8.0,460.0,0.0,37.180595,3.805,184.29001
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,01:00:00,2,292.0,294.0,4.0,288.0,0.0,34.99151,2.71,197.975
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,02:00:00,2,196.0,204.31035,3.0,193.0,0.0,26.50847,2.8,223.095
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,03:00:00,2,118.0,119.5,3.0,115.0,0.0,25.78339,1.8,239.59
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,04:00:00,2,89.0,91.0,4.0,85.0,0.0,25.963709,1.185,245.0
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,05:00:00,2,103.0,105.5,5.0,98.0,0.0,27.220291,1.59,241.625
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,06:00:00,2,160.0,164.5,9.0,151.0,0.0,32.930626,1.8199999,227.625
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,07:00:00,2,484.0,490.0,12.0,472.0,0.0,37.761715,3.94,180.125
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,08:00:00,2,1121.0,1128.0,14.0,1107.0,0.0,43.510963,6.7250004,142.425
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,09:00:00,2,1352.0,1360.0,16.0,1336.0,0.0,38.96574,9.365,118.350006
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,10:00:00,2,1274.0,1283.5,19.0,1255.0,0.0,41.10529,7.91,135.615
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,11:00:00,2,1146.0,1154.0,16.0,1130.0,0.0,38.70769,9.655,110.490005
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,12:00:00,2,1154.0,1165.0,22.0,1132.0,0.0,39.562447,7.5950003,124.875
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,13:00:00,2,1078.0,1091.5,27.0,1051.0,0.0,38.128777,9.565001,122.11
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,14:00:00,2,1132.0,1138.5,13.0,1119.0,0.0,38.717564,7.6800003,119.625
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,15:00:00,2,1109.0,1115.5,13.0,1096.0,0.0,38.18603,7.965,120.175
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,16:00:00,2,1106.0,1114.5,17.0,1089.0,0.0,38.58899,7.525,121.355
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,17:00:00,2,1077.0,1106.4407,22.0,1055.0,0.0,33.153816,10.85,129.48
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,18:00:00,2,1138.0,1162.3728,10.0,1128.0,0.0,37.46748,10.285,118.604996
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,19:00:00,2,1017.0,1024.0,14.0,1003.0,0.0,37.64832,6.77,131.65
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,20:00:00,2,999.0,1006.5,15.0,984.0,0.0,36.916546,9.514999,127.485
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,21:00:00,2,1029.0,1034.0,10.0,1019.0,0.0,35.07886,8.985,136.98
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,22:00:00,2,1040.0,1045.0,10.0,1030.0,0.0,36.592964,7.315,141.225
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-01,23:00:00,2,907.0,912.5,11.0,896.0,0.0,37.299538,7.8599997,144.7
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,00:00:00,2,605.0,607.0,4.0,601.0,0.0,36.310913,4.715,168.515
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,01:00:00,2,395.0,396.0,2.0,393.0,0.0,36.352406,3.225,185.23999
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,02:00:00,2,272.0,281.37933,0.0,272.0,0.0,27.930588,3.4650002,206.265
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,03:00:00,2,166.0,167.0,2.0,164.0,0.0,27.992773,2.415,231.56
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,04:00:00,2,155.0,158.5,7.0,148.0,0.0,25.985676,2.19,234.48001
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,05:00:00,2,177.0,180.5,7.0,170.0,0.0,26.258135,2.435,226.065
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,06:00:00,2,240.0,245.5,11.0,229.0,0.0,35.14875,3.0149999,211.485
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,07:00:00,2,420.0,424.5,9.0,411.0,0.0,37.248,3.5,187.45
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,08:00:00,2,798.0,803.5,11.0,787.0,0.0,40.458797,5.36,146.875
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,09:00:00,2,1021.0,1025.5,9.0,1012.0,0.0,41.016865,6.55,132.825
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,10:00:00,2,1147.0,1156.5,19.0,1128.0,0.0,39.787407,8.565,123.49
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,11:00:00,2,1213.0,1219.0,12.0,1201.0,0.0,38.676723,8.6,119.45
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,12:00:00,2,1107.0,1113.5,13.0,1094.0,0.0,38.61469,7.5,126.235
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,13:00:00,2,1065.0,1070.5,11.0,1054.0,0.0,37.976074,7.305,127.009995
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,14:00:00,2,1001.0,1005.5,9.0,992.0,0.0,38.096775,8.425,129.26
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,15:00:00,2,1103.0,1110.0,14.0,1089.0,0.0,39.425636,10.299999,132.49
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,16:00:00,2,1122.0,1127.5,11.0,1111.0,0.0,38.90986,8.425,134.05
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,17:00:00,2,1041.0,1045.0,8.0,1033.0,0.0,38.23436,9.835,135.62
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,18:00:00,2,957.0,961.5,9.0,948.0,0.0,38.657253,6.425,136.315
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,19:00:00,2,912.0,917.5,11.0,901.0,0.0,37.18158,7.0249996,134.175
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,20:00:00,2,943.0,960.5,35.0,908.0,0.0,34.869396,8.615,136.865
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,21:00:00,2,904.0,911.5,15.0,889.0,0.0,34.58674,8.53,133.375
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,22:00:00,2,845.0,892.1052,5.0,840.0,0.0,35.056496,8.385,133.045
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-02,23:00:00,2,743.0,745.5,5.0,738.0,0.0,35.204884,5.435,149.5
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,00:00:00,2,486.0,487.0,2.0,484.0,0.0,34.27617,4.2349997,172.29999
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,01:00:00,2,328.0,329.0,2.0,326.0,0.0,35.217194,3.245,190.655
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,02:00:00,2,258.0,267.93103,2.0,256.0,0.0,27.662325,2.855,207.73
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,03:00:00,2,137.0,139.0,4.0,133.0,0.0,25.824451,2.4,240.78
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,04:00:00,2,121.0,123.5,5.0,116.0,0.0,21.761324,1.76,238.51001
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,05:00:00,2,118.0,119.5,3.0,115.0,0.0,22.793135,1.665,239.375
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,06:00:00,2,185.0,186.5,3.0,182.0,0.0,33.275623,2.2,222.25
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,07:00:00,2,321.0,325.5,9.0,312.0,0.0,40.144855,2.775,196.135
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,08:00:00,2,559.0,563.0,8.0,551.0,0.0,41.47254,4.33,161.175
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,09:00:00,2,784.0,787.5,7.0,777.0,0.0,40.676037,5.435,148.985
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,10:00:00,2,940.0,946.0,12.0,928.0,0.0,39.954468,6.46,138.385
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,11:00:00,2,1018.0,1029.5,23.0,995.0,0.0,39.376644,8.475,132.005
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,12:00:00,2,920.0,926.0,12.0,908.0,0.0,39.60875,7.235,135.56
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,13:00:00,2,975.0,980.5,11.0,964.0,0.0,39.287693,6.795,132.56
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,14:00:00,2,931.0,935.0,8.0,923.0,0.0,38.06334,7.5150003,137.535
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,15:00:00,2,1050.0,1054.5,9.0,1041.0,0.0,39.758743,8.49,134.815
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,16:00:00,2,999.0,1008.0,18.0,981.0,0.0,38.36059,13.875,124.835
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,17:00:00,2,886.0,890.5,9.0,877.0,0.0,38.763306,9.28,139.41
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,18:00:00,2,893.0,897.5,9.0,884.0,0.0,38.703842,8.625,138.405
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,19:00:00,2,951.0,962.0,22.0,929.0,0.0,37.787212,8.485001,131.56
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,20:00:00,2,804.0,806.5,5.0,799.0,0.0,37.07602,8.53,143.635
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,21:00:00,2,851.0,854.0,6.0,845.0,0.0,35.46617,6.125,141.5
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,22:00:00,2,824.0,828.5,9.0,815.0,0.0,34.239635,8.105,143.79001
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-03,23:00:00,2,652.0,656.0,8.0,644.0,0.0,35.239754,7.165,154.31
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-04,00:00:00,2,445.0,449.0,8.0,437.0,0.0,36.31517,3.8600001,179.9
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-04,01:00:00,2,302.0,306.0,8.0,294.0,0.0,33.62894,3.5,193.16501
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-04,02:00:00,2,193.0,200.17242,1.0,192.0,0.0,29.065493,2.55,223.10501
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-04,03:00:00,2,142.0,144.0,4.0,138.0,0.0,25.569014,2.18,231.56
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-04,04:00:00,2,107.0,108.5,3.0,104.0,0.0,25.942616,1.45,241.48
VJVRL10,基隆路-松隆路 往北,正向放置,2016-04-04,05:00:00,2,138.0,140.0,4.0,134.0,0.0,26.061522,1.95,236.85
