EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,00:00:00,2,328.0,375.7627,83.0,245.0,0.0,42.040367,1.695,109.405
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,01:00:00,2,247.0,281.0,68.0,179.0,0.0,44.4115,0.96500003,111.075
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,02:00:00,2,137.0,156.0,38.0,99.0,0.0,43.331097,0.48000002,98.935
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,03:00:00,2,63.0,69.0,12.0,51.0,0.0,45.254604,0.14,75.45
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,04:00:00,2,50.0,57.5,15.0,35.0,0.0,42.2604,0.13,64.56
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,05:00:00,2,44.0,48.0,8.0,36.0,0.0,46.68182,0.1,59.14
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,06:00:00,2,83.0,91.0,16.0,67.0,0.0,44.26554,0.235,86.8
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,07:00:00,2,201.0,217.5,33.0,168.0,0.0,44.13736,0.985,124.135
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,08:00:00,2,464.0,497.0,66.0,398.0,0.0,35.568275,3.3600001,101.350006
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,09:00:00,2,416.0,450.5,69.0,347.0,0.0,34.658363,3.205,120.575
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,10:00:00,2,584.0,643.0,118.0,466.0,0.0,31.154243,8.165,95.61
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,11:00:00,2,609.0,656.0,94.0,515.0,0.0,33.097225,6.515,90.625
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,12:00:00,2,568.0,616.5,97.0,471.0,0.0,31.546902,8.48,114.95
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,13:00:00,2,603.0,650.5,95.0,508.0,0.0,31.699406,8.535,94.95
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,14:00:00,2,549.0,581.0,64.0,485.0,0.0,32.193516,6.135,88.825
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,15:00:00,2,546.0,596.37933,61.0,485.0,0.0,33.00293,4.34,94.46
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,16:00:00,2,594.0,629.5,71.0,523.0,0.0,32.035557,7.155,101.244995
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,17:00:00,2,625.0,655.0,60.0,565.0,0.0,32.225437,6.0,99.990005
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,18:00:00,2,686.0,727.5,83.0,603.0,0.0,29.267345,10.715,87.78
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,19:00:00,2,786.0,895.0,218.0,568.0,0.0,29.05855,12.045,88.175
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,20:00:00,2,846.0,986.0,280.0,566.0,0.0,29.462341,15.28,76.83
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,21:00:00,2,796.0,933.0,274.0,522.0,0.0,31.306458,14.125,83.175
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,22:00:00,2,770.0,897.5,255.0,515.0,0.0,30.941458,10.35,87.67
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-01,23:00:00,2,716.0,819.0,206.0,510.0,0.0,39.205307,5.09,85.585
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,00:00:00,2,413.0,481.0169,120.0,293.0,0.0,40.15429,2.22,104.005005
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,01:00:00,2,293.0,332.5,79.0,214.0,0.0,42.810444,1.215,123.95
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,02:00:00,2,206.0,229.5,47.0,159.0,0.0,42.24597,0.82500005,110.4
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,03:00:00,2,162.0,183.0,42.0,120.0,0.0,41.50568,0.59,101.240005
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,04:00:00,2,93.0,100.5,15.0,78.0,0.0,43.917095,0.3,73.15
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,05:00:00,2,71.0,76.5,11.0,60.0,0.0,42.494366,0.275,67.085
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,06:00:00,2,104.0,112.0,16.0,88.0,0.0,45.287502,0.29999998,96.965
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,07:00:00,2,184.0,199.0,30.0,154.0,0.0,46.512115,0.78999996,143.435
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,08:00:00,2,396.0,423.0,54.0,342.0,0.0,41.301163,2.555,112.35
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,09:00:00,2,592.0,626.0,68.0,524.0,0.0,35.100033,4.605,96.85
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,10:00:00,2,780.0,847.0,134.0,646.0,0.0,28.83331,15.235,87.815
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,11:00:00,2,458.0,527.5,139.0,319.0,0.0,22.48284,15.334999,68.369995
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,12:00:00,2,661.0,734.0,146.0,515.0,0.0,22.769714,18.23,92.76
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,13:00:00,2,661.0,706.0,90.0,571.0,0.0,26.534193,13.675,85.65
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,14:00:00,2,707.0,753.5,93.0,614.0,0.0,32.715347,8.035,86.44
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,15:00:00,2,436.0,474.40677,61.0,375.0,0.0,31.038578,5.04,91.69
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,16:00:00,2,710.0,744.0,68.0,642.0,0.0,31.766115,6.9249997,84.445
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,17:00:00,2,644.0,676.5,65.0,579.0,0.0,33.195713,5.5,95.25
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,18:00:00,2,682.0,716.5,69.0,613.0,0.0,30.29997,9.635,96.11
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,19:00:00,2,690.0,779.0,178.0,512.0,0.0,33.602436,6.525,90.575
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,20:00:00,2,669.0,771.0,204.0,465.0,0.0,33.932648,7.675,81.399994
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,21:00:00,2,683.0,788.5,211.0,472.0,0.0,33.375446,6.9950004,99.26
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,22:00:00,2,646.0,738.0,184.0,462.0,0.0,35.22412,5.24,93.485
VTVXH20,成功路(文德路-金龍路)-成功路4段147號星巴克前路燈桿(已附掛市警局CCTV),未指定,2016-04-02,23:00:00,2,576.0,660.5,169.0,407.0,0.0,38.284985,3.685,99.575
