EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,00:00:00,2,64.0,66.10169,2.0,62.0,0.0,14.578906,0.55,244.19
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,01:00:00,2,49.0,51.35593,3.0,46.0,0.0,11.554082,0.32,247.315
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,02:00:00,2,31.0,31.5,1.0,30.0,0.0,9.902903,0.255,248.64
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,03:00:00,2,10.0,10.0,0.0,10.0,0.0,9.3,0.085,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,04:00:00,2,11.0,11.0,0.0,11.0,0.0,5.64,0.09,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,05:00:00,2,10.0,10.0,0.0,10.0,0.0,3.1,0.09,250.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,06:00:00,2,62.0,63.5,3.0,59.0,0.0,18.35629,0.45,246.565
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,07:00:00,2,241.0,250.5,19.0,222.0,0.0,39.40614,1.655,220.04999
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,08:00:00,2,826.0,829.0,6.0,820.0,0.0,30.044964,7.145,166.11
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,09:00:00,2,924.0,935.0,22.0,902.0,0.0,28.362318,8.75,154.43
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,10:00:00,2,586.0,595.5,19.0,567.0,0.0,32.43701,4.515,177.34
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,11:00:00,2,480.0,488.5,17.0,463.0,0.0,35.73312,3.605,184.275
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,12:00:00,2,422.0,430.0,16.0,406.0,0.0,35.10763,3.135,186.0
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,13:00:00,2,445.0,478.44827,35.0,410.0,0.0,33.108627,3.62,187.88
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,14:00:00,2,389.0,397.0,16.0,373.0,0.0,32.338276,3.0,191.36
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,15:00:00,2,448.0,458.5,21.0,427.0,0.0,34.243282,3.1999998,178.465
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,16:00:00,2,373.0,383.0,20.0,353.0,0.0,34.044422,2.735,190.89
VQKWL61,民權東路六段203巷口往西30M,向西,2016-04-01,17:00:00,2,388.0,396.0,16.0,372.0,0.0,31.003582,3.0900002,191.325
