EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,00:00:00,1,142.0,144.91525,1.0,141.0,0.0,58.42,1.54,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,01:00:00,1,63.0,64.067795,0.0,63.0,0.0,61.57,0.79,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,02:00:00,1,53.0,54.406776,1.0,52.0,0.0,55.55,0.67,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,03:00:00,1,26.0,27.457626,2.0,24.0,0.0,64.77,0.39,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,04:00:00,1,28.0,29.491524,2.0,26.0,0.0,57.79,0.4,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,05:00:00,1,18.0,18.305084,0.0,18.0,0.0,54.94,0.27,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,06:00:00,1,41.0,41.694916,0.0,41.0,0.0,60.809998,0.53,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,07:00:00,1,161.0,166.77966,6.0,155.0,0.0,59.759995,1.75,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,08:00:00,1,576.0,602.069,12.0,564.0,0.0,52.51,7.14,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,09:00:00,1,580.0,596.4407,13.0,567.0,0.0,51.59,7.22,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,10:00:00,1,494.0,508.98303,13.0,481.0,0.0,54.46,5.86,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,11:00:00,1,496.0,517.2414,8.0,488.0,0.0,57.46,5.71,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,12:00:00,1,543.0,551.0,16.0,527.0,0.0,56.67,6.02,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,13:00:00,1,489.0,512.069,12.0,477.0,0.0,55.38,5.79,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,14:00:00,1,526.0,541.0169,12.0,514.0,0.0,55.21,6.18,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,15:00:00,1,549.0,566.4407,16.0,533.0,0.0,53.55,6.59,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,16:00:00,1,559.0,603.75,9.0,550.0,0.0,53.01,7.09,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,17:00:00,1,559.0,570.5085,4.0,555.0,0.0,53.41,6.51,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,18:00:00,1,787.0,809.4915,18.0,769.0,0.0,47.130005,10.79,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,19:00:00,1,770.0,790.1695,14.0,756.0,0.0,45.89,10.78,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,20:00:00,1,582.0,609.31036,14.0,568.0,0.0,50.97,7.51,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,21:00:00,1,484.0,487.5,7.0,477.0,0.0,54.66,5.58,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,22:00:00,1,428.0,436.77966,3.0,425.0,0.0,53.809998,5.03,0.0
VSGLN60,明水路大直橋往西約130M處,往西,2016-04-01,23:00:00,1,294.0,302.0339,6.0,288.0,0.0,54.43,3.41,0.0
