EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-01,01:00:00,4,14.0,8.0,0.0,8.0,6.0,72.50143,0.055,3.855
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-01,10:00:00,4,117.0,82.5,5.0,75.0,37.0,65.10162,0.4675,25.335
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-01,11:00:00,4,154.0,114.0,4.0,108.0,42.0,64.50896,0.66999996,40.7375
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-01,12:00:00,4,216.0,147.5,3.0,143.0,69.0,64.40823,0.765,39.307503
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-01,13:00:00,4,197.0,135.92929,9.0,118.0,70.0,64.286194,4.4849997,40.0425
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-01,14:00:00,4,199.0,133.0,2.0,130.0,67.0,64.34236,0.72499996,39.2875
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-01,15:00:00,4,240.0,154.0,4.0,148.0,88.0,63.602,0.875,48.0175
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-01,16:00:00,4,8.0,6.0,0.0,6.0,2.0,65.5,0.024999999,0.5575
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-01,18:00:00,4,326.0,223.19403,1.0,218.0,107.0,63.428226,7.9725,40.489998
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-01,23:00:00,4,248.0,150.50847,2.0,145.0,101.0,65.26762,0.75250006,40.9525
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-02,00:00:00,4,205.0,109.830505,0.0,108.0,97.0,64.83152,0.70000005,44.28
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-02,01:00:00,4,29.0,15.0,0.0,15.0,14.0,63.83,0.120000005,7.7999997
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-02,04:00:00,4,1.0,1.0,0.0,1.0,0.0,81.0,0.07,0.3375
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-02,05:00:00,4,15.0,8.0,0.0,8.0,7.0,65.6,0.0925,7.2250004
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-02,07:00:00,4,25.0,15.0,2.0,12.0,11.0,63.3596,0.1125,7.5825
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-02,08:00:00,4,7.0,4.0,0.0,4.0,3.0,67.42857,0.044999998,3.675
VSM4D61,1+360北側車道(二號隧道內),西,2016-04-02,15:00:00,4,134.0,98.0,2.0,95.0,37.0,65.666115,1.3774999,21.349998
