EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSQYA00,金湖路268號前,往西,2016-04-01,00:00:00,1,805.0,810.0,10.0,795.0,0.0,50.39,7.72,0.4
VSQYA00,金湖路268號前,往西,2016-04-01,01:00:00,1,258.0,259.0,2.0,256.0,0.0,53.35,2.0,0.03
VSQYA00,金湖路268號前,往西,2016-04-01,02:00:00,1,313.0,314.0,2.0,311.0,0.0,54.83,2.27,0.02
VSQYA00,金湖路268號前,往西,2016-04-01,03:00:00,1,385.0,385.5,1.0,384.0,0.0,51.76,3.17,0.02
VSQYA00,金湖路268號前,往西,2016-04-01,04:00:00,1,508.0,509.5,3.0,505.0,0.0,55.74,4.2,0.08
VSQYA00,金湖路268號前,往西,2016-04-01,05:00:00,1,557.0,559.0,4.0,553.0,0.0,51.32,5.28,0.12
VSQYA00,金湖路268號前,往西,2016-04-01,06:00:00,1,595.0,599.0,8.0,587.0,0.0,59.140003,4.7,0.1
VSQYA00,金湖路268號前,往西,2016-04-01,07:00:00,1,435.0,449.0,28.0,407.0,0.0,54.35,4.38,0.17
VSQYA00,金湖路268號前,往西,2016-04-01,08:00:00,1,662.0,676.5,29.0,633.0,0.0,42.33,8.27,0.15
VSQYA00,金湖路268號前,往西,2016-04-01,09:00:00,1,882.0,897.0,30.0,852.0,0.0,40.760002,11.77,0.25
VSQYA00,金湖路268號前,往西,2016-04-01,10:00:00,1,970.0,988.5,37.0,933.0,0.0,45.66,11.68,0.63
VSQYA00,金湖路268號前,往西,2016-04-01,11:00:00,1,1386.0,1410.5,49.0,1337.0,0.0,41.38,18.17,0.48
VSQYA00,金湖路268號前,往西,2016-04-01,12:00:00,1,1487.0,1531.5254,38.0,1449.0,0.0,40.84,20.43,0.58
VSQYA00,金湖路268號前,往西,2016-04-01,13:00:00,1,1548.0,1623.1035,42.0,1506.0,0.0,37.1,23.94,0.76
VSQYA00,金湖路268號前,往西,2016-04-01,14:00:00,1,1955.0,2025.7627,74.0,1881.0,0.0,38.76,28.53,1.0
VSQYA00,金湖路268號前,往西,2016-04-01,15:00:00,1,1420.0,1520.5264,47.0,1374.0,-1.0,38.93,19.85,0.86
VSQYA00,金湖路268號前,往西,2016-04-01,16:00:00,1,1144.0,1156.5,25.0,1119.0,0.0,38.99,15.58,0.47
